color,id,name,slug
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",calcatreu-rio-negro-argentina
#049cdb,2,LATENT (no visible organising at the moment),water-contamination-by-rahim-yar-khan-sugar-mill
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",new-airport-on-tioman-island
#ffc40d,3,LOW (some local organising),pesticides-contaminate-drinkable-water-in-bretagne-france
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",copper-mining-on-the-asana-river-peru
#ffc40d,3,LOW (some local organising),wind-farm-nowe-skalmierzyce-poland
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",kamchay-dam-kampot-province-cambodia
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",pt-sss-irregular-establishment
#ffc40d,3,LOW (some local organising),wpb-colliery-in-dullstroom-mpumalanga-south-africa
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia
#999999,1,UNKNOWN,lake-chad-desertification-chad
#ee2c2c,5,"HIGH (widespread, mass mobilization, violence, arrests, etc...)",xochicuautla-comunidadotomi-mexico
#ee2c2c,5,"HIGH (widespread, mass mobilization, violence, arrests, etc...)",congo-coltan-in-the-kivu-region-dr-of-congo
#ffc40d,3,LOW (some local organising),lesten-tampur-dam
#ffc40d,3,LOW (some local organising),sime-darby-plantation-land-conflict-liberia
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",obsolete-pesticides-in-abaco-island-bahamas
#ffc40d,3,LOW (some local organising),anglo-platinum-mogalakwena-mine-lawsuit-south-africa
#999999,1,UNKNOWN,mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",oil-drilling-in-the-national-park-of-calilegua
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",irish-cement
#ee2c2c,5,"HIGH (widespread, mass mobilization, violence, arrests, etc...)",centrale-elettronucleare-alto-lazio-di-montalto-di-castro
#049cdb,2,LATENT (no visible organising at the moment),telangana-government-plantation-programme
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",depredacion-ecologica-en-el-cerro-de-el-cimatario
#ffc40d,3,LOW (some local organising),contaminacion-del-rio-pirai
#ffc40d,3,LOW (some local organising),chuangyuan-aluminium-plant-pollution-in-hunan-china
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",buryatia-vs-yukos-oil-russian-federation
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",wisco-soalala-iron-ore-madagascar
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",sahara-india-eco-tourism-project-in-sundarban-west-bengal-india
#ee2c2c,5,"HIGH (widespread, mass mobilization, violence, arrests, etc...)",exploratory-fracking-at-kirby-misperton-yorkshire
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",bedford-biofuels-jatropha-tana-delta-kenya
#ffc40d,3,LOW (some local organising),derrame-de-petroleo-en-el-campo-de-frade-brazil
#ffc40d,3,LOW (some local organising),chemehuevi-indian-tribe-off-roading-damage
#ee2c2c,5,"HIGH (widespread, mass mobilization, violence, arrests, etc...)",clayoquot-sound-canada
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",nuclear-waste-storage-in-villar-de-canas-spain
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",mis-valley-hydropower-plant-italy
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",varun-land-grabbing-madagascar
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",vindelalven-hydel-project-sweden
#ee2c2c,5,"HIGH (widespread, mass mobilization, violence, arrests, etc...)",land-grabbing-and-filling-up-of-wetlands
#ee2c2c,5,"HIGH (widespread, mass mobilization, violence, arrests, etc...)",luoding-incinerator-guangzhou-china
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",mineria-en-jardin-antioquia-colombia
#ffc40d,3,LOW (some local organising),illegal-boreholes-for-strawberry-farming-in-donana
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia
#ffc40d,3,LOW (some local organising),exxaro-leeuwpan-mining-project-south-africa
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",kosova-e-re-lignite-power-plant
#ffc40d,3,LOW (some local organising),coastal-zone-megaprojects-el-salvador
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana
#ee2c2c,5,"HIGH (widespread, mass mobilization, violence, arrests, etc...)",macarthur-metallic-black-sand-mining
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",russas-valparaiso-redd-projects-acre-brazil
#ffc40d,3,LOW (some local organising),dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project
#ffc40d,3,LOW (some local organising),ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp
#ff7f50,4,"MEDIUM (street protests, visible mobilization)",shale-gas-hydraulic-fracturing-ile-anticosti
#ffc40d,3,LOW (some local organising),rubber-tree-plantation-near-de-dja-reserve
