UID,name,government_actors
calcatreu-rio-negro-argentina,Consejo de Ecologia y Medio Ambiente ,
copper-mining-on-the-asana-river-peru,INADE,
copper-mining-on-the-asana-river-peru,INRENA,
phosphate-mining-in-anitpolis-brazil,Ministerio Publico Federal - MPF,
phosphate-mining-in-anitpolis-brazil,Fundacao Estadual do Meio Ambiente do Estado de Santa Catarina - FATMA,
phosphate-mining-in-anitpolis-brazil,Tribunal Regional Federal - TRF,
phosphate-mining-in-anitpolis-brazil,Governo do Estado de Santa Catarina,
phosphate-mining-in-anitpolis-brazil,Prefeitura Municipal de Anitapolis,
lake-chad-desertification-chad,Lake Chad Basin Commission,
lake-chad-desertification-chad,Government of Nigeria,
lake-chad-desertification-chad,Government of Chad,
lake-chad-desertification-chad,Government of Cameroon,
lake-chad-desertification-chad,Government of Niger,
lake-chad-desertification-chad,Government of the Central African Republic,
developments-along-the-shores-of-lake-elementaita-kenya,National Environment Management Authority,
developments-along-the-shores-of-lake-elementaita-kenya,Kenya Wildlife Service,
developments-along-the-shores-of-lake-elementaita-kenya,National Museums of Kenya,
congo-coltan-in-the-kivu-region-dr-of-congo,Government of the Democratic Republic of the Congo.,
sime-darby-plantation-land-conflict-liberia,Ministry of Agriculture,
sime-darby-plantation-land-conflict-liberia,Environmental Protection Agency,
sime-darby-plantation-land-conflict-liberia,Ministry of Land,
sime-darby-plantation-land-conflict-liberia,Mines and Energy,
sime-darby-plantation-land-conflict-liberia,Inter-Ministerial Committee on Sime Darby,
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,South Africa Human Rights Commission,
mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,NNPC,
yalova-vopak-chemical-storage-terminal-turkey,Ministry of Environment and Urbanisation,
yalova-vopak-chemical-storage-terminal-turkey,Agriculture and Livestock,
yalova-vopak-chemical-storage-terminal-turkey,Provincial Culture and Tourism Directorate,
yalova-vopak-chemical-storage-terminal-turkey,Provincial Directorate of Food,
yalova-vopak-chemical-storage-terminal-turkey,Yalova Governorship,
yalova-vopak-chemical-storage-terminal-turkey,Provincial Special Administration,
yalova-vopak-chemical-storage-terminal-turkey,Forestry Operation Directorate,
yalova-vopak-chemical-storage-terminal-turkey,Provincial Directorate of Health,
yalova-vopak-chemical-storage-terminal-turkey,Taskopru County Municipality,
bedford-biofuels-jatropha-tana-delta-kenya,National Environment Management Authority; Kenya Wildlife Service; Kenya Forest Service; Tana and Athi Rivers Development Authority (TARDA); Commissioner of Lands; Water Resources Management Authority; Tana River County Council; Tana Delta District Develo,
bedford-biofuels-jatropha-tana-delta-kenya,Ministries: Provincial administration (Tana Delta and Lamu Districts); Office of the Prime Minister; Ministry of Environment and Mineral Resources; Ministry of Forestry and Wildlife; Ministry of Local Government; Ministry of Energy; Ministry of Tourism ; ,
nuclear-waste-storage-in-villar-de-canas-spain,Spanish governement,
nuclear-waste-storage-in-villar-de-canas-spain,Regional government of Castilla y la Mancha,
nuclear-waste-storage-in-villar-de-canas-spain,Villar de Cañas Town Council,
mis-valley-hydropower-plant-italy,Ente Nazionale Parco Dolomiti Bellunesi,
mis-valley-hydropower-plant-italy,Ministero dellEnergia,
mis-valley-hydropower-plant-italy,Regione Veneto,
vindelalven-hydel-project-sweden,Vattenfall ,
exxaro-leeuwpan-mining-project-south-africa,National Assembly,
exxaro-leeuwpan-mining-project-south-africa,Democratic Alliance,
olkiluoto-nuclear-power-plant-euraaminne-finland,STUK,
olkiluoto-nuclear-power-plant-euraaminne-finland,Radiation and Nuclear Safety Authority,
olkiluoto-nuclear-power-plant-euraaminne-finland,Ministry of Social Affairs and Health,
olkiluoto-nuclear-power-plant-euraaminne-finland,Advisory Committee on Nuclear Safety,
cellulose-industry-in-gualeguaychu-ur-arg,Government of Argentina,
cellulose-industry-in-gualeguaychu-ur-arg,Government of Uruguay,
cellulose-industry-in-gualeguaychu-ur-arg,ICJ - The Netherlands,
cellulose-industry-in-gualeguaychu-ur-arg,DINAMA - Uruguay,
cellulose-industry-in-gualeguaychu-ur-arg,MVOTMA - Uruguay,
cellulose-industry-in-gualeguaychu-ur-arg,Secretary of Environment and Sustainable Development - Argentina,
presa-de-el-zapotillo-jalisco-mexico,CONAGUA,
presa-de-el-zapotillo-jalisco-mexico,CEA,
jirau-and-santo-antonio-dams-on-madeira-river-brazil,Brazilian government,
jirau-and-santo-antonio-dams-on-madeira-river-brazil,FUNAI ,
dugarajapatnam-port-andhra-pradesh-india,Government of India,
dugarajapatnam-port-andhra-pradesh-india,Communist Party of India ,
dugarajapatnam-port-andhra-pradesh-india,National Green Tribunal,
dugarajapatnam-port-andhra-pradesh-india,Ministry of Shipping,
dugarajapatnam-port-andhra-pradesh-india,Telegu Desham Party ,
dugarajapatnam-port-andhra-pradesh-india,Bharatiya Janata Party ,
sponge-iron-factories-in-west-bengal-india,Government of West Bengal,
sponge-iron-factories-in-west-bengal-india,West Bengal Pollution Control Board,
water-privatisation-egypt,Ministry of Water Supply and Sanitation Facilities,
water-privatisation-egypt,Ministry of Water Resources and Irrigation,
water-privatisation-egypt,Ministry of Health and Population,
water-privatisation-egypt,Egyptian Environmental Affairs Agency,
water-privatisation-egypt,Egyptian Water Regulatory Agency ,
northstar-oil-field-usa,US Secretary of the Interior,
chachi-indigenous-centre-el-encanto-vs-durini-ecuador,The Ecuadorian National Institute for Forests,
chachi-indigenous-centre-el-encanto-vs-durini-ecuador,Nature and Wildlife ,
chachi-indigenous-centre-el-encanto-vs-durini-ecuador,Govenor of Esmeraldas,
fehmarn-belt-fixed-link-germany-denmark,Danish Ministry of Transport,
ilisu-dam-project-turkey,Turkish Prime Ministry,
ilisu-dam-project-turkey,Turkish Ministry of Energy and Natural Resources,
ilisu-dam-project-turkey,General Directorate of State Hydraulic Works,
ilisu-dam-project-turkey,Turkish Ministry of Forestry and Water Affairs,
ilisu-dam-project-turkey,Turkish Ministry of Environment and Urbanisation,
ilisu-dam-project-turkey,Birolu Insaat,
ilisu-dam-project-turkey,General Directorate of Cultural Heritage and Museums,
ilisu-dam-project-turkey,TOKI,
ilisu-dam-project-turkey,DSI,
shell-contractors-fingered-in-bodo-community-oil-theft-explosion-nigeria,Nigerian National Petroleum Cororation ,
koroama-women-stage-protest-alleging-neglect-by-shell-nigeria,Nigerian National Petroleum Corporation. ,
lignite-mining-janschwalde-horno-germany,The government of Brandenburg,
monoculture-plantation-in-araucania-chile,National Forestry Corporation ,
monoculture-plantation-in-araucania-chile,Agriculture and Livestock Service ,
monoculture-plantation-in-araucania-chile,General Water Office ,
cerro-el-alguacil-inarwa-colombia,Ministerio de Ambiente y Desarrollo Sostenible,
cerro-el-alguacil-inarwa-colombia,Ministerio de Interior,
cerro-el-alguacil-inarwa-colombia,Parques Nacionales Naturales de Colombia,
cerro-el-alguacil-inarwa-colombia,Presidencia de La Republica,
cerro-el-alguacil-inarwa-colombia,Gobernacion del Cesar,
cerro-el-alguacil-inarwa-colombia,Alcaldia de Valledupar,
cerro-el-alguacil-inarwa-colombia,Ejercito Nacional de Colombia,
cerro-el-alguacil-inarwa-colombia,Superintendencia de Notariado y Registro,
cerro-el-alguacil-inarwa-colombia,Incora ,
fibria-and-eldorado-brasil-project-in-mato-grosso-do-sul-brazil,BNDES (National social and development bank)is financing Eldorado Brasil,
pascua-lama-mine-argentina,Argentine Government,
yacyreta-dam-on-the-parana-river-argentina,Government of Argentina,
yacyreta-dam-on-the-parana-river-argentina,Government of Paraguay,
yacyreta-dam-on-the-parana-river-argentina,EBY - Argentina,
kaolin-pipeline-on-quilombo-land-in-moju-para-brazil,Ministerio Publico Federal - MPF,
kaolin-pipeline-on-quilombo-land-in-moju-para-brazil,Ministerio Publico do Estado do Para - MPE/PA,
eucalyptus-producer-portucel-group-mozambique,Ministry of Agriculture,
eucalyptus-producer-portucel-group-mozambique,Ministry of Energy,
eucalyptus-producer-portucel-group-mozambique,Ministry of Environment,
amboseli-national-park-downgrading-to-a-game-reserve-kenya,Office of the President;,
amboseli-national-park-downgrading-to-a-game-reserve-kenya,Kenya Wildlife Service;,
amboseli-national-park-downgrading-to-a-game-reserve-kenya,Ministry of Tourism and Wildlife,
gobindpura-thermal-power-plant-punjab-india,Government of Punjab,
shrimp-farming-in-canavieiras-brazil,Instituto Chico Mendes de Biodiversidade - ICMBIO;,
shrimp-farming-in-canavieiras-brazil,Instituto Nacional de Colonizacao e Reforma Agraria - IBAMA,
shrimp-farming-in-canavieiras-brazil,Ministerio do Meio Ambiente - MMA,
potosi-mines-of-cerro-rico-bolivia,COMIBOL,
potosi-mines-of-cerro-rico-bolivia,Fencomin,
potosi-mines-of-cerro-rico-bolivia,Ministry of Mines Bolivia,
oil-extraction-in-the-indigenous-motilon-bari-territory-colombia,ANH - Colombia,
oil-extraction-in-the-indigenous-motilon-bari-territory-colombia,Ministry for the Environment ,
oil-extraction-in-the-indigenous-motilon-bari-territory-colombia,Ministry of Justice and Internal Affairs,
lamu-port-and-related-infrastructure-kenya,Ministry of Lands,
lamu-port-and-related-infrastructure-kenya,Housing and Urban Development; Kenya Ports Authority,
lamu-port-and-related-infrastructure-kenya,Ministry of Environment,
lamu-port-and-related-infrastructure-kenya,Water and Natural Resources,
andal-airetropolis-india,Government of India,
andal-airetropolis-india,Government of West Bengal,
andal-airetropolis-india,Civil Aviation ministry,
andal-airetropolis-india,West Bengal Industrial Development Corporation,
cienaga-de-ayapel-colombia,Ministerio de Minas y Energia,
cienaga-de-ayapel-colombia,Ministerio de Ambiente y Desarrollo Sostenible,
cienaga-de-ayapel-colombia,Ingeominas ,
cienaga-de-ayapel-colombia,Gobernacion de Cordoba,
cienaga-de-ayapel-colombia,Contraloría General de la República,
cienaga-de-ayapel-colombia,Procuraduria General de la Nacion,
cienaga-de-ayapel-colombia,Alcaldia Municipal de Ayapel,
cienaga-de-ayapel-colombia,Puerto Libertador,
cienaga-de-ayapel-colombia,San José de Uró y Montelíbano.,
cienaga-de-ayapel-colombia,Corporacion Autonoma Regional de los Valles del Sinu y del San Jorge,
nembe-creek-oil-spill-communities-livelihoods-threatened,Nigerian National Petroleum Corporation.,
nembe-creek-oil-spill-communities-livelihoods-threatened,Nigeria Department of Petroleum Resources .,
krsko-nuclear-power-plant-slovenia,(ARAO)- Agency for Radioactive Waste Management,
krsko-nuclear-power-plant-slovenia,Slovenian Nuclear Safety Administration,
eurovegas-macro-casino-complex-in-alcorcon-madrid-spain,Spanish government,
eurovegas-macro-casino-complex-in-alcorcon-madrid-spain,Madrid Regional Governement,
eurovegas-macro-casino-complex-in-alcorcon-madrid-spain,Alcorcón Town Council,
toxic-waste-landfill-in-kettleman-city-usa,California EPA; California Department of Toxic Substances Control; Kings County,
tia-maria-peru,Ministerio de Energia y Minas,
tia-maria-peru,Gobierno Municipal de Cocachacra,
tia-maria-peru,Gobierno Municipal de Islay-Matarani,
