UID,supporters,url,local_names,slug,name,parent,acronym,involvement,description,country.name,country.slug,country
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,,www.worldbank.org,,world-bank,The World Bank,,WB,,,United States of America ,united-states-of-america,
copper-mining-on-the-asana-river-peru,,www.worldbank.org,,world-bank,The World Bank,,WB,,,United States of America ,united-states-of-america,
copper-mining-on-the-asana-river-peru,,,,office-of-the-compliance-advisor-ombudsman, Office of the Compliance Advisor/Ombudsman of IFC,,CAO,,The independent recourse mechanism for the International Finance Corporation,,,
copper-mining-on-the-asana-river-peru,,https://www.unops.org/english/About/Pages/default.aspx,,the-united-nations-office-for-project-services,The United Nations Office for Project Services ,,UNOPS,hydrological assessment of the open-pit copper mine project between February and June 2013,,,,
copper-mining-on-the-asana-river-peru,,http://www.unep.org,,united-nations-environmental-programme,United Nations Environmental Programme,,UNEP,revision of the hydrological assessment of the project,,,,
copper-mining-on-the-asana-river-peru,,http://www.ifc.org/wps/wcm/connect/corp_ext_content/ifc_external_corporate_site/home,,international-finance-corporation,International Finance Corporation,,IFC,,The IFC belongs to the World Bank Group. It is the largest global development institution focused exclusively on the private sector in developing countries.,,,
kamchay-dam-kampot-province-cambodia,,http://www.eximbank.gov.cn/,,china-exim-bank,China Export Import Bank,,Chexim,,"Chinese institution that provides financial support to promote the export of Chinese products and services mainly in the infrastructure fields (roads, power plants, oil and gas pipelines, telecom, and water projects).",China,china,
pt-sss-irregular-establishment,,http://www.rspo.org,,roundtable-on-sustainable-palm-oil-rspo,Roundtable on Sustainable Palm Oil (RSPO),,RSPO,,Multi-stakeholder initiative that says to promote the cultivation of sustainable palm oil,,,
lake-chad-desertification-chad,,https://www.afdb.org/en,,african-development-bank,African Development Bank,,AfDB,,The African Development Bank is a multilateral development finance institution. ] Its mission is to fight poverty and improve living conditions on the continent through promoting the investment of public and private capital in projects and programs that are likely to contribute to the economic and social development of the region.,,,
lake-chad-desertification-chad,,www.worldbank.org,,world-bank,The World Bank,,WB,,,United States of America ,united-states-of-america,
lake-chad-desertification-chad,,http://www.fao.org,,food-and-agricultural-organisation,Food and Agricultural Organisation,,FAO,,,,,
lake-chad-desertification-chad,,https://www.thegef.org/about-us,,global-environment-facility,Global Environment Facility,,GEF,,"The Global Environment Facility (GEF) was established on the eve of the 1992 Rio Earth Summit to help tackle our planet’s most pressing environmental problems. The GEF unites 183 countries in partnership with international institutions, civil society organizations (CSOs), and the private sector to address global environmental issues while supporting national sustainable development initiatives.",United States of America ,united-states-of-america,
lake-chad-desertification-chad,,http://www.undp.org/content/undp/en/home.html,,united-nations-development-programme,United Nations Development Programme,,UNDP,,"Involved in integrated conservation and development project, as a donor, as listed in the Project Details section.",United States of America ,united-states-of-america,
lesten-tampur-dam,,http://www.boc.cn/en/,,bank-of-china,Bank of China,,BOC,,The Bank of China (BOC; Chinese: 中国银行) is a Chinese national commercial bank headquartered in Beijing and the fourth largest bank in the world.,China,china,
sime-darby-plantation-land-conflict-liberia,,http://www.ocbc.com/,,ocbc,OCBC Bank Singapore,,OCBC,,"OCBC Bank has assets of more than S$521.3 billion, making it the second largest bank in Southeast Asia by assets and among the larger banks in Asia-Pacific",Singapore,singapore,
sime-darby-plantation-land-conflict-liberia,,https://www.cimb.com/en/home.html,,cimb,CIMB,,,,,Malaysia,malaysia,
sime-darby-plantation-land-conflict-liberia,,,,hsbc,HSBC,,banking,,,"Hong Kong SAR, China",hong-kong-sar-china,
sime-darby-plantation-land-conflict-liberia,,http://www.bk.mufg.jp/global/,,bank-of-tokyo-mitsubishi-ufj,The Bank of Tokyo Mitsubishi UFJ,,MUFG,,"Largest bank in Japan, eighth largest in the world according to Bloomberg. Serves as the core retail, corporate, and investment banking arm of the Mitsubishi UFJ Financial Group.",Japan,japan,
bedford-biofuels-jatropha-tana-delta-kenya,,,,uk-aid,UK Aid,,,,,United Kingdom,united-kingdom,
