other_health_impacts,other_socio_economical_impacts,other_environmental_impacts,slug
,,,calcatreu-rio-negro-argentina
Hepatitis and asthma,,,water-contamination-by-rahim-yar-khan-sugar-mill
,,,oak-flat-usa
Illnesses caused by pollutants emitted by aircraft,Negative impacts on established tourism businesses,"Damage to coral reefs, sea grass beds and beaches",new-airport-on-tioman-island
,"Cemeteries profanation._x000D_
Planned death of breeding stock.",,moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal
,"The conservation project tried to preserve the forest, Zé Claudio often expressed reverence towards the big chestnuts trees, ""their majesties"". Loggers and grileiros cut down the trees and appropriated the land, for ranching.",,jose-claudio-maria
,,,pesticides-contaminate-drinkable-water-in-bretagne-france
,,,hebron-a-city-flooded-with-sewage
,,,copper-mining-on-the-asana-river-peru
"skin diseases (red rashes), excessive blood lead levels",stigma on locally produced vegetable and fruits,,jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china
,"- inability to build houses_x000D_
- decline in land value",,wind-farm-nowe-skalmierzyce-poland
,,,kamchay-dam-kampot-province-cambodia
,,,phosphate-mining-in-anitpolis-brazil
,,,pt-sss-irregular-establishment
,,,wpb-colliery-in-dullstroom-mpumalanga-south-africa
,,,a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia
,,,lake-chad-desertification-chad
,Threat to sacred places,,xochicuautla-comunidadotomi-mexico
,,,developments-along-the-shores-of-lake-elementaita-kenya
,,,congo-coltan-in-the-kivu-region-dr-of-congo
,,,lesten-tampur-dam
,"Destruction of burial areas.
Residents of Grand Cape Mount County report having to travel to Monrovia to purchase food supplies, whereas they were previously able to supply 
themselves with sustenance through farming activities[4].",,sime-darby-plantation-land-conflict-liberia
Fear and uncertainty about the health effects associated with fifty 55-gallon drums of dioxin-based herbicides. ,,,obsolete-pesticides-in-abaco-island-bahamas
,,Mine Blasting,anglo-platinum-mogalakwena-mine-lawsuit-south-africa
,,,mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations
,,,oil-drilling-in-the-national-park-of-calilegua
,,,rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong
,,,irish-cement
,,,centrale-elettronucleare-alto-lazio-di-montalto-di-castro
,,Loss of natural habitat ,telangana-government-plantation-programme
"-Poisonings (potential)
-Genetic disorders and mutagenicities due to the contamination depending upon stored chemicals. ",,,yalova-vopak-chemical-storage-terminal-turkey
,,,rare-earth-mining-in-mountains-of-myanmar
,,,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines
,,,depredacion-ecologica-en-el-cerro-de-el-cimatario
,,,contaminacion-del-rio-pirai
10 cancer-related deaths reported ,crop damage ,,chuangyuan-aluminium-plant-pollution-in-hunan-china
