UID,name,environmental_impact
calcatreu-rio-negro-argentina,Air pollution,
calcatreu-rio-negro-argentina,"Biodiversity loss (wildlife, agro-diversity)",
calcatreu-rio-negro-argentina,Desertification/Drought,
calcatreu-rio-negro-argentina,Food insecurity (crop damage),
calcatreu-rio-negro-argentina,Loss of landscape/aesthetic degradation,
calcatreu-rio-negro-argentina,Soil contamination,
calcatreu-rio-negro-argentina,Soil erosion,
calcatreu-rio-negro-argentina,Waste overflow,
calcatreu-rio-negro-argentina,Deforestation and loss of vegetation cover,
calcatreu-rio-negro-argentina,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
calcatreu-rio-negro-argentina,Groundwater pollution or depletion,
calcatreu-rio-negro-argentina,Large-scale disturbance of hydro and geological systems,
calcatreu-rio-negro-argentina,Reduced ecological / hydrological connectivity,
calcatreu-rio-negro-argentina,Mine tailing spills,
water-contamination-by-rahim-yar-khan-sugar-mill,Soil contamination,
water-contamination-by-rahim-yar-khan-sugar-mill,Waste overflow,
water-contamination-by-rahim-yar-khan-sugar-mill,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
water-contamination-by-rahim-yar-khan-sugar-mill,Groundwater pollution or depletion,
oak-flat-usa,"Biodiversity loss (wildlife, agro-diversity)",
oak-flat-usa,Loss of landscape/aesthetic degradation,
oak-flat-usa,Noise pollution,
oak-flat-usa,Soil contamination,
oak-flat-usa,Soil erosion,
oak-flat-usa,Waste overflow,
oak-flat-usa,Deforestation and loss of vegetation cover,
oak-flat-usa,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
oak-flat-usa,Groundwater pollution or depletion,
oak-flat-usa,Reduced ecological / hydrological connectivity,
oak-flat-usa,Mine tailing spills,
oak-flat-usa,Desertification/Drought,
new-airport-on-tioman-island,Air pollution,
new-airport-on-tioman-island,"Biodiversity loss (wildlife, agro-diversity)",
new-airport-on-tioman-island,"Floods (river, coastal, mudflow)",
new-airport-on-tioman-island,Global warming,
new-airport-on-tioman-island,Loss of landscape/aesthetic degradation,
new-airport-on-tioman-island,Noise pollution,
new-airport-on-tioman-island,Large-scale disturbance of hydro and geological systems,
new-airport-on-tioman-island,Reduced ecological / hydrological connectivity,
new-airport-on-tioman-island,Groundwater pollution or depletion,
new-airport-on-tioman-island,Other Environmental impacts,
