UID,health_impact,name
water-contamination-by-rahim-yar-khan-sugar-mill,,Infectious diseases
water-contamination-by-rahim-yar-khan-sugar-mill,,Deaths
water-contamination-by-rahim-yar-khan-sugar-mill,,Other Health impacts
oak-flat-usa,,Accidents
oak-flat-usa,,"Mental problems including stress, depression and suicide"
oak-flat-usa,,"Violence related health impacts (homicides, rape, etc..) "
oak-flat-usa,,"Health problems related to alcoholism, prostitution"
new-airport-on-tioman-island,,"Mental problems including stress, depression and suicide"
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,,Malnutrition
jose-claudio-maria,,"Violence related health impacts (homicides, rape, etc..) "
pesticides-contaminate-drinkable-water-in-bretagne-france,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
hebron-a-city-flooded-with-sewage,,Occupational disease and accidents
hebron-a-city-flooded-with-sewage,,Infectious diseases
hebron-a-city-flooded-with-sewage,,Other environmental related diseases
hebron-a-city-flooded-with-sewage,,Other Health impacts
copper-mining-on-the-asana-river-peru,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
copper-mining-on-the-asana-river-peru,,"Mental problems including stress, depression and suicide"
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,,Other Health impacts
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,,Accidents
wind-farm-nowe-skalmierzyce-poland,,"Mental problems including stress, depression and suicide"
phosphate-mining-in-anitpolis-brazil,,Accidents
phosphate-mining-in-anitpolis-brazil,,"Violence related health impacts (homicides, rape, etc..) "
phosphate-mining-in-anitpolis-brazil,,"Health problems related to alcoholism, prostitution"
phosphate-mining-in-anitpolis-brazil,,Occupational disease and accidents
phosphate-mining-in-anitpolis-brazil,,Infectious diseases
phosphate-mining-in-anitpolis-brazil,,Deaths
pt-sss-irregular-establishment,,Other environmental related diseases
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,,Accidents
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,,Malnutrition
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,,Deaths
lake-chad-desertification-chad,,Malnutrition
xochicuautla-comunidadotomi-mexico,,Accidents
developments-along-the-shores-of-lake-elementaita-kenya,,Other environmental related diseases
congo-coltan-in-the-kivu-region-dr-of-congo,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
congo-coltan-in-the-kivu-region-dr-of-congo,,Malnutrition
congo-coltan-in-the-kivu-region-dr-of-congo,,"Mental problems including stress, depression and suicide"
congo-coltan-in-the-kivu-region-dr-of-congo,,"Violence related health impacts (homicides, rape, etc..) "
congo-coltan-in-the-kivu-region-dr-of-congo,,"Health problems related to alcoholism, prostitution"
congo-coltan-in-the-kivu-region-dr-of-congo,,Occupational disease and accidents
congo-coltan-in-the-kivu-region-dr-of-congo,,Deaths
lesten-tampur-dam,,Infectious diseases
obsolete-pesticides-in-abaco-island-bahamas,,Other Health impacts
obsolete-pesticides-in-abaco-island-bahamas,,Malnutrition
obsolete-pesticides-in-abaco-island-bahamas,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,,Other environmental related diseases
rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,,Malnutrition
rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,,"Mental problems including stress, depression and suicide"
rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,,"Health problems related to alcoholism, prostitution"
irish-cement,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
irish-cement,,Other Health impacts
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,,Accidents
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,,Occupational disease and accidents
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,,Deaths
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,,Other environmental related diseases
telangana-government-plantation-programme,,Malnutrition
telangana-government-plantation-programme,,"Mental problems including stress, depression and suicide"
yalova-vopak-chemical-storage-terminal-turkey,,Accidents
