name,socio_economical_impact,slug
"Lack of work security, labour absenteeism, firings, unemployment",,calcatreu-rio-negro-argentina
Loss of livelihood,,calcatreu-rio-negro-argentina
Loss of traditional knowledge/practices/cultures,,calcatreu-rio-negro-argentina
"Social problems (alcoholism, prostitution, etc..)",,calcatreu-rio-negro-argentina
Loss of landscape/sense of place,,calcatreu-rio-negro-argentina
Loss of livelihood,,water-contamination-by-rahim-yar-khan-sugar-mill
Militarization and increased police presence,,water-contamination-by-rahim-yar-khan-sugar-mill
Violations of human rights,,water-contamination-by-rahim-yar-khan-sugar-mill
Increase in violence and crime,,oak-flat-usa
Loss of livelihood,,oak-flat-usa
Loss of traditional knowledge/practices/cultures,,oak-flat-usa
"Social problems (alcoholism, prostitution, etc..)",,oak-flat-usa
Specific impacts on women,,oak-flat-usa
Loss of landscape/sense of place,,oak-flat-usa
Increase in Corruption/Co-optation of different actors,,oak-flat-usa
Land dispossession,,oak-flat-usa
Loss of livelihood,,new-airport-on-tioman-island
Loss of traditional knowledge/practices/cultures,,new-airport-on-tioman-island
Loss of landscape/sense of place,,new-airport-on-tioman-island
Other socio-economic impacts,,new-airport-on-tioman-island
Displacement,,moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal
"Lack of work security, labour absenteeism, firings, unemployment",,moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal
Loss of livelihood,,moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal
Land dispossession,,moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal
Displacement,,jose-claudio-maria
Increase in violence and crime,,jose-claudio-maria
Loss of livelihood,,jose-claudio-maria
Loss of traditional knowledge/practices/cultures,,jose-claudio-maria
Specific impacts on women,,jose-claudio-maria
Violations of human rights,,jose-claudio-maria
Land dispossession,,jose-claudio-maria
Loss of landscape/sense of place,,jose-claudio-maria
Loss of traditional knowledge/practices/cultures,,hebron-a-city-flooded-with-sewage
Militarization and increased police presence,,hebron-a-city-flooded-with-sewage
Specific impacts on women,,hebron-a-city-flooded-with-sewage
Violations of human rights,,hebron-a-city-flooded-with-sewage
Land dispossession,,hebron-a-city-flooded-with-sewage
