UID,name,forms_mobilizing
calcatreu-rio-negro-argentina,"Artistic and creative actions (eg guerilla theatre, murals)",
calcatreu-rio-negro-argentina,Development of a network/collective action,
calcatreu-rio-negro-argentina,Involvement of national and international NGOs,
calcatreu-rio-negro-argentina,"Lawsuits, court cases, judicial activism",
calcatreu-rio-negro-argentina,Media based activism/alternative media,
calcatreu-rio-negro-argentina,Objections to the EIA,
calcatreu-rio-negro-argentina,Official complaint letters and petitions,
calcatreu-rio-negro-argentina,Public campaigns,
calcatreu-rio-negro-argentina,Street protest/marches,
water-contamination-by-rahim-yar-khan-sugar-mill,Public campaigns,
water-contamination-by-rahim-yar-khan-sugar-mill,Street protest/marches,
water-contamination-by-rahim-yar-khan-sugar-mill,Refusal of compensation,
oak-flat-usa,"Artistic and creative actions (eg guerilla theatre, murals)",
oak-flat-usa,Development of a network/collective action,
oak-flat-usa,"Lawsuits, court cases, judicial activism",
oak-flat-usa,Media based activism/alternative media,
oak-flat-usa,Objections to the EIA,
oak-flat-usa,Official complaint letters and petitions,
oak-flat-usa,Public campaigns,
oak-flat-usa,Street protest/marches,
new-airport-on-tioman-island,Development of alternative proposals,
new-airport-on-tioman-island,Involvement of national and international NGOs,
new-airport-on-tioman-island,Media based activism/alternative media,
new-airport-on-tioman-island,Public campaigns,
new-airport-on-tioman-island,Street protest/marches,
new-airport-on-tioman-island,Arguments for the rights of mother nature,
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,Involvement of national and international NGOs,
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,"Lawsuits, court cases, judicial activism",
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,Official complaint letters and petitions,
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,Public campaigns,
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,Street protest/marches,
jose-claudio-maria,Development of a network/collective action,
jose-claudio-maria,Development of alternative proposals,
jose-claudio-maria,"Lawsuits, court cases, judicial activism",
jose-claudio-maria,Media based activism/alternative media,
jose-claudio-maria,Official complaint letters and petitions,
jose-claudio-maria,Other,
pesticides-contaminate-drinkable-water-in-bretagne-france,Development of alternative proposals,
pesticides-contaminate-drinkable-water-in-bretagne-france,Involvement of national and international NGOs,
pesticides-contaminate-drinkable-water-in-bretagne-france,"Lawsuits, court cases, judicial activism",
pesticides-contaminate-drinkable-water-in-bretagne-france,Media based activism/alternative media,
pesticides-contaminate-drinkable-water-in-bretagne-france,Official complaint letters and petitions,
pesticides-contaminate-drinkable-water-in-bretagne-france,Public campaigns,
hebron-a-city-flooded-with-sewage,"Community-based participative research (popular epidemiology studies, etc..)",
hebron-a-city-flooded-with-sewage,Creation of alternative reports/knowledge,
hebron-a-city-flooded-with-sewage,Development of a network/collective action,
hebron-a-city-flooded-with-sewage,Involvement of national and international NGOs,
hebron-a-city-flooded-with-sewage,Media based activism/alternative media,
hebron-a-city-flooded-with-sewage,Official complaint letters and petitions,
hebron-a-city-flooded-with-sewage,Public campaigns,
hebron-a-city-flooded-with-sewage,Property damage/arson,
hebron-a-city-flooded-with-sewage,Appeals/recourse to economic valuation of the environment,
copper-mining-on-the-asana-river-peru,Official complaint letters and petitions,
copper-mining-on-the-asana-river-peru,Street protest/marches,
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,Creation of alternative reports/knowledge,
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,Development of a network/collective action,
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,Media based activism/alternative media,
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,Official complaint letters and petitions,
wind-farm-nowe-skalmierzyce-poland,"Community-based participative research (popular epidemiology studies, etc..)",
wind-farm-nowe-skalmierzyce-poland,"Lawsuits, court cases, judicial activism",
wind-farm-nowe-skalmierzyce-poland,Media based activism/alternative media,
