name,groups_mobilizing,slug
Indigenous groups or traditional communities,,calcatreu-rio-negro-argentina
Local ejos,,calcatreu-rio-negro-argentina
Local government/political parties,,calcatreu-rio-negro-argentina
Neighbours/citizens/communities,,calcatreu-rio-negro-argentina
Social movements,,calcatreu-rio-negro-argentina
Religious groups,,calcatreu-rio-negro-argentina
Farmers and peasants,,calcatreu-rio-negro-argentina
Ethnically/racially discriminated groups,,water-contamination-by-rahim-yar-khan-sugar-mill
Farmers and peasants,,water-contamination-by-rahim-yar-khan-sugar-mill
Indigenous groups or traditional communities,,oak-flat-usa
Local ejos,,oak-flat-usa
Ethnically/racially discriminated groups,,oak-flat-usa
Local scientists/professionals,,oak-flat-usa
Religious groups,,oak-flat-usa
Other,,oak-flat-usa
Local ejos,,new-airport-on-tioman-island
Neighbours/citizens/communities,,new-airport-on-tioman-island
Other,,new-airport-on-tioman-island
Local ejos,,moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal
Pastoralists,,moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal
Fisher people,,moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal
Farmers and peasants,,moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal
International ejos,,jose-claudio-maria
Local ejos,,jose-claudio-maria
Religious groups,,jose-claudio-maria
Farmers and peasants,,jose-claudio-maria
Local ejos,,pesticides-contaminate-drinkable-water-in-bretagne-france
Neighbours/citizens/communities,,pesticides-contaminate-drinkable-water-in-bretagne-france
Local scientists/professionals,,pesticides-contaminate-drinkable-water-in-bretagne-france
Artisanal miners,,hebron-a-city-flooded-with-sewage
Indigenous groups or traditional communities,,hebron-a-city-flooded-with-sewage
Informal workers,,hebron-a-city-flooded-with-sewage
Local government/political parties,,hebron-a-city-flooded-with-sewage
Neighbours/citizens/communities,,hebron-a-city-flooded-with-sewage
Social movements,,hebron-a-city-flooded-with-sewage
"Wastepickers, recyclers",,hebron-a-city-flooded-with-sewage
Women,,hebron-a-city-flooded-with-sewage
Ethnically/racially discriminated groups,,hebron-a-city-flooded-with-sewage
Recreational users,,hebron-a-city-flooded-with-sewage
Religious groups,,hebron-a-city-flooded-with-sewage
Neighbours/citizens/communities,,copper-mining-on-the-asana-river-peru
Farmers and peasants,,copper-mining-on-the-asana-river-peru
Neighbours/citizens/communities,,jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china
Farmers and peasants,,jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china
Local government/political parties,,wind-farm-nowe-skalmierzyce-poland
Neighbours/citizens/communities,,wind-farm-nowe-skalmierzyce-poland
Social movements,,wind-farm-nowe-skalmierzyce-poland
Farmers and peasants,,wind-farm-nowe-skalmierzyce-poland
Indigenous groups or traditional communities,,kamchay-dam-kampot-province-cambodia
International ejos,,kamchay-dam-kampot-province-cambodia
Local ejos,,kamchay-dam-kampot-province-cambodia
Landless peasants,,kamchay-dam-kampot-province-cambodia
Neighbours/citizens/communities,,kamchay-dam-kampot-province-cambodia
Farmers and peasants,,kamchay-dam-kampot-province-cambodia
Local ejos,,phosphate-mining-in-anitpolis-brazil
Local government/political parties,,phosphate-mining-in-anitpolis-brazil
Neighbours/citizens/communities,,phosphate-mining-in-anitpolis-brazil
Social movements,,phosphate-mining-in-anitpolis-brazil
Fisher people,,phosphate-mining-in-anitpolis-brazil
Farmers and peasants,,phosphate-mining-in-anitpolis-brazil
Indigenous groups or traditional communities,,pt-sss-irregular-establishment
Local ejos,,pt-sss-irregular-establishment
Farmers and peasants,,pt-sss-irregular-establishment
Local ejos,,wpb-colliery-in-dullstroom-mpumalanga-south-africa
Local government/political parties,,wpb-colliery-in-dullstroom-mpumalanga-south-africa
