suggested_alternatives,other_outcomes,success_reason,success_level,name,slug,id,color,project_status
,,"Las comunidades indígenas y asambleas de vecinos autoconvocados entre otras organizaciones, se opusieron al proyecto y lograron su suspensión en 2005. Hay intentos de reflotarlo desde 2017.",Yes,Proposed (exploration phase),calcatreu-rio-negro-argentina,2.0,#049cdb,
,,,No,Unknown,water-contamination-by-rahim-yar-khan-sugar-mill,1.0,#999999,
"Not mining the area._x000D_
The Save Oak Flat Act would revoke the land swap transferring ownership of Oak Flat to Resolution Copper",,Litigation is ongoing as of June 2022,No,"Planned (decision to go ahead eg EIA undertaken, etc)",oak-flat-usa,3.0,#ffc40d,
"Residents have suggested upgrading the existing airport at Kampung Tekek, including lengthening the runway to accommodate larger aircraft,[6] and upgrading the jetty to enable an increase in visitors arrive by boat.[3] Building a new airport in Mersing instead has also been suggested.[1]",Stated commitment to comply with rules regarding Tioman Island's marine park status[7],At this moment there is a stated commitment to comply with rules regarding Tioman Island's marine park status[7]. But the project goes ahead,Not sure,Proposed (exploration phase),new-airport-on-tioman-island,2.0,#049cdb,
There are no other alternatives proposed than having the lands back or finding peaceful solutions to the situation. ---------- Il n'y a pas d'alternatives proposées autre que celle les terrestrial soient rendues aux villageois ou bien de trouver une solution pacifique.  ,,"Land allocation to Addoha was cancelled by President Macky Sall in December 2017, but the declaration has not been implemented yet. -------------- L'attribution de terres à Addoha a été annulée par le President Macky Sall en décembre 2017 mais cette décision n'a pas été exécutée. ",Not sure,Proposed (exploration phase),moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,2.0,#049cdb,
,,"The project of preserving the forest of castanha do Pará in that particular location failed. However, the court case against the killers of José Claudio and Maria made slow progress and in December 2016 the notorious grileiro (land grabber) Jose Rodrigues Moreira who ordered the killing, was sentenced on appeal to 60 years in prison - but he had got away long before  this court decision. [3]",No,,jose-claudio-maria,,,
"Water and River of Bretagne ask the government to take action by protecting the water, investing in restauration and reducing the pesticide use that has been brought by the failed plan Ecophyto[4].",,"The pesticide could be prohibited. However the government are pressuring against the prohibition. Furthermore, the contamination could take years to leave the water. ",Not sure,In operation,pesticides-contaminate-drinkable-water-in-bretagne-france,5.0,#ee2c2c,
"The solution to this problem should be first to lift the concrete slabs and release flooding, removed the concrete to prevent the passage of water to the old city Souq. Alternatively, holes in the iron barrier built by the Occupation by the Souq should be opened. These actions should also be supported by building water infrastructure and the reparation of damaged or polluted wells.",,"Currently the Old City of Hebron is considered as a ""Ghost Town"". Business are closed and the limits of movement imposed by the Israel Defense Forces and the clashes with settlers together with their control over the existing water drainage channels made the situation in the Old City have an overall negative impact over the environment, health and economy of the people living and working in the Old City of Hebron.",No,In operation,hebron-a-city-flooded-with-sewage,5.0,#ee2c2c,
Give priority to the agriculture and food production activities as a reliable and sustainable source of livelihood for the local population. ,,"Despite the protests and intentions of negotiations held, the mining project continues operating without any consideration to the local population. ",No,Under construction,copper-mining-on-the-asana-river-peru,4.0,#ff7f50,
,,"The Feimei Aluminum Project has stopped its production. However, environmental pollution has not been resolved. The livelihood issues after the relocation of the villagers have not been addressed adequately until the documenting time for this case. ",Not sure,Stopped,jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,6.0,#46a546,
"The ""STOP THE WIND TURBINES"" Association in the Nowe Skalmierzyce Commune emphasized that it supports ecological solutions and the development of green energy. However, they do not want the construction of a wind farm to take away the possibility of development in the field of housing or mixed-use buildings in the localities where they live [12]._x000D_
In turn, the council of the Nowe Skalmierzyce commune called for the amendment of the provisions of the Act of May 20, 2016 on investments in the field of wind farms. They proposed to remove Art. 4 sec. 1 point 2 and the introduction of a provision that will create the possibility of developing residential and mixed-use buildings 500 m from the wind farm [1].",,"The Chief Inspector of Building Supervision in Warsaw suspended construction works, but the investor continued the works. In February 2022, turbine components were transported to the investment site. Perhaps by July 15, 2022 (deadline), it will be possible to approve the Local Spatial Development Plan that will prevent the construction of a wind farm.",Not sure,Under construction,wind-farm-nowe-skalmierzyce-poland,4.0,#ff7f50,
,,,No,In operation,kamchay-dam-kampot-province-cambodia,5.0,#ee2c2c,
,,The environmental licensing of the project has been suspended in court and the company has not yet succeeded in reversing the suspension in superior judicial instances.,Yes,"Planned (decision to go ahead eg EIA undertaken, etc)",phosphate-mining-in-anitpolis-brazil,3.0,#ffc40d,
,,The plantation continues operating despite not having obtained permits legally. Complains by the local people have been ignored and they have not received compensation for the damages derived from the plantation or for the loss of land for food crops.,No,In operation,pt-sss-irregular-establishment,5.0,#ee2c2c,
,,"WPB continues to mine illegally in defiance of its suspension, though there have not been recent updates to the pending legal cases against them.",No,In operation,wpb-colliery-in-dullstroom-mpumalanga-south-africa,5.0,#ee2c2c,
No alternative has been proposed. The uranium mine has been approved and has the licence until 2043. ,,"Althought the mine has been approved, the Tjiwarl nation continue the struggle against the uranium mine. In their own wrds:  “The fight is not over - this is only one part of our campaign, and we will not allow this decision to stop us now. It’s a bad decision, but it’s not the end decision” [4]. ",No,Under construction,a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,4.0,#ff7f50,
"Countries of the region have come together through the Lake Chad Basin Commission to coordinate their responses to the crisis and to work towards the suistainable use of the lakes resources. LCBC countries have developed an ambitious plan to replenish the lake with water from the Obangui, a tributary of the Congo River. The scheme will cost a staggering 14.5 billion dollars and feasibility studies are being carried out[5].",,"Seen though the prism of climate justice (although the causes of Lake Chads shrinkage are multiple), Lake Chad is an example of how the effects and costs of global climate change as a result of greenhouse gas emissions emitted by industrialised countries are being borne by those in the developing world whom are the least responsible for climate change.",No,Unknown,lake-chad-desertification-chad,1.0,#999999,
"En mayo 2017 el Consejo Supremo Indígena propone alternativa técnica frente a la autopista Toluca – Naucalpan. Basada en túneles y puentes, propone el cruce humano y de fauna, así como preservar las fuentes de agua de la comunidad, a diferencia del proyecto de Grupo Higa.",,"Much damage has been done in the territory, some buildings have been destroyed by the Grupo Higa, there have been arrests and  intimidation of those opposing the new road. The CNDH and judicial authorities have recommended suspension of the project.  Alternatives were negotiated in 2017. ",Not sure,Under construction,xochicuautla-comunidadotomi-mexico,4.0,#ff7f50,
