name,slug,conflict_event
Institutional changes,calcatreu-rio-negro-argentina,
New legislation,calcatreu-rio-negro-argentina,
Strengthening of participation,calcatreu-rio-negro-argentina,
Application of existing regulations,calcatreu-rio-negro-argentina,
New Environmental Impact Assessment/Study,calcatreu-rio-negro-argentina,
Project temporarily suspended,calcatreu-rio-negro-argentina,
Under negotiation,water-contamination-by-rahim-yar-khan-sugar-mill,
Under negotiation,oak-flat-usa,
Application of existing regulations,oak-flat-usa,
Project temporarily suspended,oak-flat-usa,
Other,new-airport-on-tioman-island,
Court decision (undecided),moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,
Project cancelled,moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,
Deaths,jose-claudio-maria,
Court decision (victory for environmental justice),jose-claudio-maria,
Violent targeting of activists,jose-claudio-maria,
Court decision (victory for environmental justice),pesticides-contaminate-drinkable-water-in-bretagne-france,
New legislation,pesticides-contaminate-drinkable-water-in-bretagne-france,
Under negotiation,pesticides-contaminate-drinkable-water-in-bretagne-france,
Migration/displacement,hebron-a-city-flooded-with-sewage,
Repression,hebron-a-city-flooded-with-sewage,
Strengthening of participation,hebron-a-city-flooded-with-sewage,
Migration/displacement,copper-mining-on-the-asana-river-peru,
New Environmental Impact Assessment/Study,copper-mining-on-the-asana-river-peru,
Project temporarily suspended,copper-mining-on-the-asana-river-peru,
Compensation,jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,
Migration/displacement,jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,
Project temporarily suspended,jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,
Strengthening of participation,wind-farm-nowe-skalmierzyce-poland,
Under negotiation,wind-farm-nowe-skalmierzyce-poland,
Compensation,kamchay-dam-kampot-province-cambodia,
Strengthening of participation,kamchay-dam-kampot-province-cambodia,
Court decision (victory for environmental justice),phosphate-mining-in-anitpolis-brazil,
Strengthening of participation,phosphate-mining-in-anitpolis-brazil,
Application of existing regulations,phosphate-mining-in-anitpolis-brazil,
New Environmental Impact Assessment/Study,phosphate-mining-in-anitpolis-brazil,
Project temporarily suspended,phosphate-mining-in-anitpolis-brazil,
Criminalization of activists,pt-sss-irregular-establishment,
Land demarcation,pt-sss-irregular-establishment,
Repression,pt-sss-irregular-establishment,
Corruption,wpb-colliery-in-dullstroom-mpumalanga-south-africa,
Court decision (undecided),wpb-colliery-in-dullstroom-mpumalanga-south-africa,
Under negotiation,wpb-colliery-in-dullstroom-mpumalanga-south-africa,
Application of existing regulations,wpb-colliery-in-dullstroom-mpumalanga-south-africa,
Project temporarily suspended,wpb-colliery-in-dullstroom-mpumalanga-south-africa,
Court decision (failure for environmental justice),a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,
"Environmental improvements, rehabilitation/restoration of area",lake-chad-desertification-chad,
Land demarcation,lake-chad-desertification-chad,
Migration/displacement,lake-chad-desertification-chad,
Technical solutions to improve resource supply/quality/distribution,lake-chad-desertification-chad,
Compensation,xochicuautla-comunidadotomi-mexico,
Corruption,xochicuautla-comunidadotomi-mexico,
Criminalization of activists,xochicuautla-comunidadotomi-mexico,
Court decision (undecided),xochicuautla-comunidadotomi-mexico,
Negotiated alternative solution,xochicuautla-comunidadotomi-mexico,
Repression,xochicuautla-comunidadotomi-mexico,
Strengthening of participation,xochicuautla-comunidadotomi-mexico,
Violent targeting of activists,xochicuautla-comunidadotomi-mexico,
Project temporarily suspended,xochicuautla-comunidadotomi-mexico,
Land demarcation,developments-along-the-shores-of-lake-elementaita-kenya,
Strengthening of participation,developments-along-the-shores-of-lake-elementaita-kenya,
Application of existing regulations,developments-along-the-shores-of-lake-elementaita-kenya,
Corruption,congo-coltan-in-the-kivu-region-dr-of-congo,
Deaths,congo-coltan-in-the-kivu-region-dr-of-congo,
Migration/displacement,congo-coltan-in-the-kivu-region-dr-of-congo,
Repression,congo-coltan-in-the-kivu-region-dr-of-congo,
Deaths,lesten-tampur-dam,
Repression,lesten-tampur-dam,
Other,lesten-tampur-dam,
Compensation,sime-darby-plantation-land-conflict-liberia,
Institutional changes,sime-darby-plantation-land-conflict-liberia,
Migration/displacement,sime-darby-plantation-land-conflict-liberia,
Negotiated alternative solution,sime-darby-plantation-land-conflict-liberia,
Strengthening of participation,sime-darby-plantation-land-conflict-liberia,
Other,sime-darby-plantation-land-conflict-liberia,
Technical solutions to improve resource supply/quality/distribution,obsolete-pesticides-in-abaco-island-bahamas,
Application of existing regulations,obsolete-pesticides-in-abaco-island-bahamas,
Court decision (failure for environmental justice),anglo-platinum-mogalakwena-mine-lawsuit-south-africa,
Migration/displacement,anglo-platinum-mogalakwena-mine-lawsuit-south-africa,
Other,anglo-platinum-mogalakwena-mine-lawsuit-south-africa,
Under negotiation,mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,
Other,mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,
Other,oil-drilling-in-the-national-park-of-calilegua,
Criminalization of activists,rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,
Repression,rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,
Under negotiation,irish-cement,
Court decision (failure for environmental justice),centrale-elettronucleare-alto-lazio-di-montalto-di-castro,
New legislation,centrale-elettronucleare-alto-lazio-di-montalto-di-castro,
Strengthening of participation,centrale-elettronucleare-alto-lazio-di-montalto-di-castro,
Fostering a culture of peace,centrale-elettronucleare-alto-lazio-di-montalto-di-castro,
Project cancelled,centrale-elettronucleare-alto-lazio-di-montalto-di-castro,
Other,centrale-elettronucleare-alto-lazio-di-montalto-di-castro,
Other,telangana-government-plantation-programme,
Criminalization of activists,yalova-vopak-chemical-storage-terminal-turkey,
New Environmental Impact Assessment/Study,yalova-vopak-chemical-storage-terminal-turkey,
Project temporarily suspended,yalova-vopak-chemical-storage-terminal-turkey,
Corruption,rare-earth-mining-in-mountains-of-myanmar,
Migration/displacement,rare-earth-mining-in-mountains-of-myanmar,
Repression,rare-earth-mining-in-mountains-of-myanmar,
Violent targeting of activists,rare-earth-mining-in-mountains-of-myanmar,
Criminalization of activists,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,
Deaths,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,
Migration/displacement,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,
Repression,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,
Violent targeting of activists,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,
Other,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,
"Environmental improvements, rehabilitation/restoration of area",depredacion-ecologica-en-el-cerro-de-el-cimatario,
Land demarcation,depredacion-ecologica-en-el-cerro-de-el-cimatario,
Repression,depredacion-ecologica-en-el-cerro-de-el-cimatario,
Corruption,contaminacion-del-rio-pirai,
Land demarcation,contaminacion-del-rio-pirai,
Migration/displacement,contaminacion-del-rio-pirai,
Negotiated alternative solution,contaminacion-del-rio-pirai,
Under negotiation,contaminacion-del-rio-pirai,
Application of existing regulations,contaminacion-del-rio-pirai,
New Environmental Impact Assessment/Study,contaminacion-del-rio-pirai,
Institutional changes,chuangyuan-aluminium-plant-pollution-in-hunan-china,
Application of existing regulations,chuangyuan-aluminium-plant-pollution-in-hunan-china,
Other,wisco-soalala-iron-ore-madagascar,
"Environmental improvements, rehabilitation/restoration of area",sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,
Strengthening of participation,sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,
New Environmental Impact Assessment/Study,sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,
Project cancelled,sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,
Application of existing regulations,illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,
Criminalization of activists,exploratory-fracking-at-kirby-misperton-yorkshire,
Under negotiation,exploratory-fracking-at-kirby-misperton-yorkshire,
Institutional changes,bedford-biofuels-jatropha-tana-delta-kenya,
Land demarcation,bedford-biofuels-jatropha-tana-delta-kenya,
Strengthening of participation,bedford-biofuels-jatropha-tana-delta-kenya,
Violent targeting of activists,bedford-biofuels-jatropha-tana-delta-kenya,
New Environmental Impact Assessment/Study,bedford-biofuels-jatropha-tana-delta-kenya,
Other,bedford-biofuels-jatropha-tana-delta-kenya,
Court decision (undecided),derrame-de-petroleo-en-el-campo-de-frade-brazil,
Court decision (undecided),chemehuevi-indian-tribe-off-roading-damage,
Strengthening of participation,chemehuevi-indian-tribe-off-roading-damage,
Other,chemehuevi-indian-tribe-off-roading-damage,
Criminalization of activists,clayoquot-sound-canada,
"Environmental improvements, rehabilitation/restoration of area",clayoquot-sound-canada,
Institutional changes,clayoquot-sound-canada,
Court decision (victory for environmental justice),clayoquot-sound-canada,
Court decision (failure for environmental justice),clayoquot-sound-canada,
Negotiated alternative solution,clayoquot-sound-canada,
Strengthening of participation,clayoquot-sound-canada,
Moratoria,clayoquot-sound-canada,
Project cancelled,clayoquot-sound-canada,
Withdrawal of company/investment,clayoquot-sound-canada,
"Environmental improvements, rehabilitation/restoration of area",adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,
Court decision (victory for environmental justice),adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,
Court decision (failure for environmental justice),adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,
New legislation,adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,
Moratoria,adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,
Corruption,nuclear-waste-storage-in-villar-de-canas-spain,
Strengthening of participation,nuclear-waste-storage-in-villar-de-canas-spain,
New Environmental Impact Assessment/Study,nuclear-waste-storage-in-villar-de-canas-spain,
Institutional changes,mis-valley-hydropower-plant-italy,
Court decision (victory for environmental justice),mis-valley-hydropower-plant-italy,
New legislation,mis-valley-hydropower-plant-italy,
Project cancelled,mis-valley-hydropower-plant-italy,
Compensation,malaysia,
Migration/displacement,malaysia,
Project cancelled,varun-land-grabbing-madagascar,
Project cancelled,vindelalven-hydel-project-sweden,
Other,vindelalven-hydel-project-sweden,
Criminalization of activists,land-grabbing-and-filling-up-of-wetlands,
Court decision (victory for environmental justice),land-grabbing-and-filling-up-of-wetlands,
Violent targeting of activists,land-grabbing-and-filling-up-of-wetlands,
Application of existing regulations,land-grabbing-and-filling-up-of-wetlands,
Project temporarily suspended,land-grabbing-and-filling-up-of-wetlands,
Repression,luoding-incinerator-guangzhou-china,
Violent targeting of activists,luoding-incinerator-guangzhou-china,
Project cancelled,luoding-incinerator-guangzhou-china,
Court decision (failure for environmental justice),mineria-en-jardin-antioquia-colombia,
Strengthening of participation,mineria-en-jardin-antioquia-colombia,
Application of existing regulations,mineria-en-jardin-antioquia-colombia,
Other,mineria-en-jardin-antioquia-colombia,
"Environmental improvements, rehabilitation/restoration of area",illegal-boreholes-for-strawberry-farming-in-donana,
Negotiated alternative solution,illegal-boreholes-for-strawberry-farming-in-donana,
Other,illegal-boreholes-for-strawberry-farming-in-donana,
New Environmental Impact Assessment/Study,pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia,
"Environmental improvements, rehabilitation/restoration of area",exxaro-leeuwpan-mining-project-south-africa,
Court decision (victory for environmental justice),exxaro-leeuwpan-mining-project-south-africa,
Negotiated alternative solution,exxaro-leeuwpan-mining-project-south-africa,
Application of existing regulations,exxaro-leeuwpan-mining-project-south-africa,
Other,exxaro-leeuwpan-mining-project-south-africa,
Under negotiation,kosova-e-re-lignite-power-plant,
Application of existing regulations,kosova-e-re-lignite-power-plant,
Project temporarily suspended,kosova-e-re-lignite-power-plant,
Land demarcation,coastal-zone-megaprojects-el-salvador,
Under negotiation,coastal-zone-megaprojects-el-salvador,
Other,coastal-zone-megaprojects-el-salvador,
Court decision (victory for environmental justice),45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa,
Project temporarily suspended,45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa,
Under negotiation,fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,
Corruption,mineria-en-el-cerro-sagrado-care-perro-antioquia,
Court decision (victory for environmental justice),mineria-en-el-cerro-sagrado-care-perro-antioquia,
Repression,mineria-en-el-cerro-sagrado-care-perro-antioquia,
Violent targeting of activists,mineria-en-el-cerro-sagrado-care-perro-antioquia,
Application of existing regulations,mineria-en-el-cerro-sagrado-care-perro-antioquia,
New Environmental Impact Assessment/Study,mineria-en-el-cerro-sagrado-care-perro-antioquia,
Moratoria,mineria-en-el-cerro-sagrado-care-perro-antioquia,
Project temporarily suspended,mineria-en-el-cerro-sagrado-care-perro-antioquia,
Corruption,macarthur-metallic-black-sand-mining,
Project temporarily suspended,macarthur-metallic-black-sand-mining,
Other,macarthur-metallic-black-sand-mining,
Application of existing regulations,russas-valparaiso-redd-projects-acre-brazil,
"Environmental improvements, rehabilitation/restoration of area",ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,
Court decision (undecided),ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,
