UID,updated_at,slug,name,locale,id,headline
calcatreu-rio-negro-argentina,2022-01-04,calcatreu-rio-negro-argentina,"Proyecto Calcatreu, Rio Negro, Argentina",en,730,"The project Calcatreu near Ingeniero Jacobacci, Rio Negro province, was stopped in 2005 by local opposition and ancestral indigenous rights. Patagonia Gold bought this project from PAS in 2017, and tries to reactivate it."
water-contamination-by-rahim-yar-khan-sugar-mill,2021-10-14,water-contamination-by-rahim-yar-khan-sugar-mill,"Water Contamination by Rahim Yar Khan sugar mill, Pakistan",en,3884,Sugar mill factory polluting drinking water sources and putting life at risk for thousands. Residents staged a protest and demand owners to act
oak-flat-usa,2022-07-27,oak-flat-usa,"Oak Flat copper and molybdenum mining, USA",en,6041,Resolution Copper (Rio Tinto and BHP) threatens to destroy Apache ceremonial grounds at Chi'chil Bildagoteel in Arizona for critical materials for the so-called energy transition
new-airport-on-tioman-island,2021-10-14,new-airport-on-tioman-island,"New airport on Tioman Island, Malaysia",en,3945,"Residents, NGOs and tourism businesses protest revival of a plan for new airport off the coast of Tioman Island. Land reclamation for the project would damage coral reefs, seagrass beds and white sand beaches that are the main attraction for visitors."
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,2022-04-26,moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,"Intensive rice cultivation by Group Addoha, Senegal",en,3208,Local  population protests against the concession of 10.000ha to a Moroccan company to cultivate rice.  The Senegalese President stated that the lease would be cancelled. This decision  not yet implemented.
jose-claudio-maria,2023-07-30,jose-claudio-maria,"Illegal logging, land grabbing and deaths of Zé Claudio and Maria do Espirito Santo, Pará,  Brazil",en,2587,"""The story of Amazon destruction and those who are fighting against it does not end with the death of Zé Claudio and Maria. Hardly. As you read this, hundreds of rural environmental activists face death threats in Brazil."""
pesticides-contaminate-drinkable-water-in-bretagne-france,2023-09-28,pesticides-contaminate-drinkable-water-in-bretagne-france,"Pesticides contaminate drinking water in Bretagne, France ",en,6374,"43% of the Bretagne's population drank water contaminated by pesticides, says a report."
hebron-a-city-flooded-with-sewage,2022-05-02,hebron-a-city-flooded-with-sewage,"Sewage floods in Hebron city, West Bank",en,1675,
copper-mining-on-the-asana-river-peru,2023-08-06,copper-mining-on-the-asana-river-peru,"Copper mine Quellaveco on the Asana river, Peru",en,484,A four year mega-project for the diversion of the Asana river is about to start. The agreement reached in 2012 hasn't appeased concerns for the mining detrimental consequences. 
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,2023-06-29,jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,"Jiaokou Feimei Aluminum Industry Co., Ltd. , LvLiang, Shanxi, China ",en,4396,"Feimei Aluminum, a Xinfa subsidiary in Jiaokou, Shanxi was blamed for polluting villages. Dozens of households in the lower reaches of its red mud reservoir were relocated over fears of a tailings dam failure and lye leaks"
wind-farm-nowe-skalmierzyce-poland,2022-08-17,wind-farm-nowe-skalmierzyce-poland,"Wind farm, Nowe Skalmierzyce, Poland",en,6023,"In 2012, residents blocked the construction of a wind farm with more than 20 turbines. In 2021, mobilization resumed, as the investor's new plans - for only 3 turbines - prevented the development of a large area due to the 'anti-wind turbines' act."
kamchay-dam-kampot-province-cambodia,2022-05-02,kamchay-dam-kampot-province-cambodia,"Kamchay dam, Kampot province, Cambodia",en,3525,"Cambodia’s first large dam, located in the unique Bokor national park, provoked concerns and protests over unjust implementation procedures as well as over environmental and social impacts. "
phosphate-mining-in-anitpolis-brazil,2022-05-02,phosphate-mining-in-anitpolis-brazil,"Phosphate mining in Anitápolis, Brazil",en,217,Since 2007 local communities are organized against a phosphate mining project in Anitápolis which would destroy part of Mata Atlântica. 
pt-sss-irregular-establishment,2022-05-02,pt-sss-irregular-establishment,"Surya Sawit Sejat, oil palm plantation in Kotawaring district, Indonesia",en,2666,"United Plantations established a palm oil plantation in Kotawaringin District, Central Kalimantan, without having the required permits and without consulting the local communities. Despite mobilization, their operations continue."
wpb-colliery-in-dullstroom-mpumalanga-south-africa,2022-05-02,wpb-colliery-in-dullstroom-mpumalanga-south-africa,"WPB Colliery in Dullstroom, Mpumalanga, South Africa",en,5214,"The community of Dullstroom has been fighting against the WPB coal mine, which has been mining illegally for years in the surrounding endangered wetlands."
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,2021-10-14,a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,"A decade longe battle against Yeelirrie uranium mine led by Tjiwarl women, Australia",en,4841,Tjiwarl women alongside other people have fought the Yeelirrie mine  for more than ten years. The mine has been approved by Federal Authorities. But they continue with the resistance.
lake-chad-desertification-chad,2022-11-22,lake-chad-desertification-chad,"Lake Chad desertification, Chad",en,176,
xochicuautla-comunidadotomi-mexico,2021-10-14,xochicuautla-comunidadotomi-mexico,"Xochicuautla, an indigenous community against a road, Lerma, Mexico",en,3900,Resistance since 2007 by an Otomí community near Mexico city against a four-lane motorway (Naucalpan-Toluca) that would cut across their sacred territory and forest. 
developments-along-the-shores-of-lake-elementaita-kenya,2021-10-14,developments-along-the-shores-of-lake-elementaita-kenya,"Developments along the shores of Lake Elementaita, Kenya",en,48,
congo-coltan-in-the-kivu-region-dr-of-congo,2022-04-25,congo-coltan-in-the-kivu-region-dr-of-congo,"Coltan in the Kivu Region, DR of Congo",en,457,"Persistent illegal Coltan mining in DR of Congo, using  child labour and increasing biodiversity loss and environmental risks. On March 20th 2016, the priest Vincent Machozi was shot dead for denouncing the mass killing of the Nande community"
