UID,languages
calcatreu-rio-negro-argentina,en
calcatreu-rio-negro-argentina,es
calcatreu-rio-negro-argentina,ar
calcatreu-rio-negro-argentina,fr
calcatreu-rio-negro-argentina,cn
calcatreu-rio-negro-argentina,tr
calcatreu-rio-negro-argentina,it
water-contamination-by-rahim-yar-khan-sugar-mill,en
water-contamination-by-rahim-yar-khan-sugar-mill,fr
water-contamination-by-rahim-yar-khan-sugar-mill,cn
water-contamination-by-rahim-yar-khan-sugar-mill,tr
water-contamination-by-rahim-yar-khan-sugar-mill,it
water-contamination-by-rahim-yar-khan-sugar-mill,es
water-contamination-by-rahim-yar-khan-sugar-mill,ar
oak-flat-usa,tr
oak-flat-usa,es
oak-flat-usa,en
oak-flat-usa,it
oak-flat-usa,fr
oak-flat-usa,ar
oak-flat-usa,cn
new-airport-on-tioman-island,tr
new-airport-on-tioman-island,it
new-airport-on-tioman-island,cn
new-airport-on-tioman-island,es
new-airport-on-tioman-island,fr
new-airport-on-tioman-island,en
new-airport-on-tioman-island,ar
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,cn
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,it
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,es
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,fr
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,en
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,ar
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,tr
jose-claudio-maria,tr
jose-claudio-maria,cn
jose-claudio-maria,it
jose-claudio-maria,ar
jose-claudio-maria,fr
jose-claudio-maria,en
jose-claudio-maria,es
pesticides-contaminate-drinkable-water-in-bretagne-france,ar
pesticides-contaminate-drinkable-water-in-bretagne-france,tr
pesticides-contaminate-drinkable-water-in-bretagne-france,cn
pesticides-contaminate-drinkable-water-in-bretagne-france,es
pesticides-contaminate-drinkable-water-in-bretagne-france,fr
pesticides-contaminate-drinkable-water-in-bretagne-france,it
pesticides-contaminate-drinkable-water-in-bretagne-france,en
hebron-a-city-flooded-with-sewage,en
hebron-a-city-flooded-with-sewage,it
hebron-a-city-flooded-with-sewage,es
hebron-a-city-flooded-with-sewage,ar
hebron-a-city-flooded-with-sewage,fr
hebron-a-city-flooded-with-sewage,tr
hebron-a-city-flooded-with-sewage,cn
copper-mining-on-the-asana-river-peru,es
copper-mining-on-the-asana-river-peru,it
copper-mining-on-the-asana-river-peru,en
copper-mining-on-the-asana-river-peru,cn
copper-mining-on-the-asana-river-peru,tr
copper-mining-on-the-asana-river-peru,fr
copper-mining-on-the-asana-river-peru,ar
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,en
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,tr
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,es
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,fr
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,it
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,ar
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,cn
wind-farm-nowe-skalmierzyce-poland,ar
wind-farm-nowe-skalmierzyce-poland,it
wind-farm-nowe-skalmierzyce-poland,es
wind-farm-nowe-skalmierzyce-poland,tr
wind-farm-nowe-skalmierzyce-poland,fr
wind-farm-nowe-skalmierzyce-poland,en
wind-farm-nowe-skalmierzyce-poland,cn
kamchay-dam-kampot-province-cambodia,tr
kamchay-dam-kampot-province-cambodia,es
kamchay-dam-kampot-province-cambodia,en
kamchay-dam-kampot-province-cambodia,ar
kamchay-dam-kampot-province-cambodia,cn
kamchay-dam-kampot-province-cambodia,it
kamchay-dam-kampot-province-cambodia,fr
phosphate-mining-in-anitpolis-brazil,ar
phosphate-mining-in-anitpolis-brazil,fr
phosphate-mining-in-anitpolis-brazil,cn
phosphate-mining-in-anitpolis-brazil,it
phosphate-mining-in-anitpolis-brazil,tr
phosphate-mining-in-anitpolis-brazil,es
phosphate-mining-in-anitpolis-brazil,en
pt-sss-irregular-establishment,en
pt-sss-irregular-establishment,ar
pt-sss-irregular-establishment,tr
pt-sss-irregular-establishment,fr
pt-sss-irregular-establishment,cn
pt-sss-irregular-establishment,es
pt-sss-irregular-establishment,it
wpb-colliery-in-dullstroom-mpumalanga-south-africa,es
wpb-colliery-in-dullstroom-mpumalanga-south-africa,ar
wpb-colliery-in-dullstroom-mpumalanga-south-africa,tr
wpb-colliery-in-dullstroom-mpumalanga-south-africa,en
wpb-colliery-in-dullstroom-mpumalanga-south-africa,fr
wpb-colliery-in-dullstroom-mpumalanga-south-africa,cn
wpb-colliery-in-dullstroom-mpumalanga-south-africa,it
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,es
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,ar
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,fr
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,tr
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,cn
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,it
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,en
lake-chad-desertification-chad,tr
lake-chad-desertification-chad,cn
lake-chad-desertification-chad,it
lake-chad-desertification-chad,fr
lake-chad-desertification-chad,ar
lake-chad-desertification-chad,es
lake-chad-desertification-chad,en
xochicuautla-comunidadotomi-mexico,en
xochicuautla-comunidadotomi-mexico,fr
xochicuautla-comunidadotomi-mexico,it
xochicuautla-comunidadotomi-mexico,es
xochicuautla-comunidadotomi-mexico,tr
xochicuautla-comunidadotomi-mexico,ar
xochicuautla-comunidadotomi-mexico,cn
developments-along-the-shores-of-lake-elementaita-kenya,en
developments-along-the-shores-of-lake-elementaita-kenya,tr
developments-along-the-shores-of-lake-elementaita-kenya,fr
developments-along-the-shores-of-lake-elementaita-kenya,es
developments-along-the-shores-of-lake-elementaita-kenya,cn
developments-along-the-shores-of-lake-elementaita-kenya,ar
developments-along-the-shores-of-lake-elementaita-kenya,it
congo-coltan-in-the-kivu-region-dr-of-congo,en
congo-coltan-in-the-kivu-region-dr-of-congo,fr
congo-coltan-in-the-kivu-region-dr-of-congo,es
congo-coltan-in-the-kivu-region-dr-of-congo,tr
congo-coltan-in-the-kivu-region-dr-of-congo,ar
congo-coltan-in-the-kivu-region-dr-of-congo,cn
congo-coltan-in-the-kivu-region-dr-of-congo,it
lesten-tampur-dam,cn
lesten-tampur-dam,it
lesten-tampur-dam,fr
lesten-tampur-dam,ar
lesten-tampur-dam,en
lesten-tampur-dam,es
lesten-tampur-dam,tr
sime-darby-plantation-land-conflict-liberia,tr
sime-darby-plantation-land-conflict-liberia,ar
sime-darby-plantation-land-conflict-liberia,cn
sime-darby-plantation-land-conflict-liberia,fr
sime-darby-plantation-land-conflict-liberia,es
sime-darby-plantation-land-conflict-liberia,en
sime-darby-plantation-land-conflict-liberia,it
obsolete-pesticides-in-abaco-island-bahamas,en
obsolete-pesticides-in-abaco-island-bahamas,it
obsolete-pesticides-in-abaco-island-bahamas,tr
obsolete-pesticides-in-abaco-island-bahamas,ar
obsolete-pesticides-in-abaco-island-bahamas,cn
obsolete-pesticides-in-abaco-island-bahamas,fr
obsolete-pesticides-in-abaco-island-bahamas,es
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,en
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,ar
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,es
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,fr
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,tr
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,cn
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,it
mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,en
mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,ar
mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,it
mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,fr
mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,cn
mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,tr
mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,es
oil-drilling-in-the-national-park-of-calilegua,en
oil-drilling-in-the-national-park-of-calilegua,tr
oil-drilling-in-the-national-park-of-calilegua,cn
oil-drilling-in-the-national-park-of-calilegua,ar
oil-drilling-in-the-national-park-of-calilegua,fr
oil-drilling-in-the-national-park-of-calilegua,es
oil-drilling-in-the-national-park-of-calilegua,it
rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,es
rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,tr
rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,fr
rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,en
rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,cn
rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,it
rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,ar
irish-cement,it
irish-cement,cn
irish-cement,ar
irish-cement,es
irish-cement,tr
irish-cement,it
irish-cement,fr
irish-cement,en
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,tr
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,fr
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,it
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,es
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,cn
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,ar
telangana-government-plantation-programme,en
telangana-government-plantation-programme,es
telangana-government-plantation-programme,fr
telangana-government-plantation-programme,it
telangana-government-plantation-programme,ar
telangana-government-plantation-programme,tr
telangana-government-plantation-programme,cn
yalova-vopak-chemical-storage-terminal-turkey,tr
yalova-vopak-chemical-storage-terminal-turkey,it
yalova-vopak-chemical-storage-terminal-turkey,fr
yalova-vopak-chemical-storage-terminal-turkey,ar
yalova-vopak-chemical-storage-terminal-turkey,cn
yalova-vopak-chemical-storage-terminal-turkey,es
yalova-vopak-chemical-storage-terminal-turkey,en
rare-earth-mining-in-mountains-of-myanmar,en
rare-earth-mining-in-mountains-of-myanmar,es
rare-earth-mining-in-mountains-of-myanmar,it
rare-earth-mining-in-mountains-of-myanmar,ar
rare-earth-mining-in-mountains-of-myanmar,fr
rare-earth-mining-in-mountains-of-myanmar,cn
rare-earth-mining-in-mountains-of-myanmar,tr
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,fr
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,ar
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,it
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,es
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,cn
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,en
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,tr
depredacion-ecologica-en-el-cerro-de-el-cimatario,it
depredacion-ecologica-en-el-cerro-de-el-cimatario,tr
depredacion-ecologica-en-el-cerro-de-el-cimatario,fr
depredacion-ecologica-en-el-cerro-de-el-cimatario,cn
depredacion-ecologica-en-el-cerro-de-el-cimatario,es
depredacion-ecologica-en-el-cerro-de-el-cimatario,en
depredacion-ecologica-en-el-cerro-de-el-cimatario,ar
contaminacion-del-rio-pirai,en
contaminacion-del-rio-pirai,tr
contaminacion-del-rio-pirai,ar
contaminacion-del-rio-pirai,it
contaminacion-del-rio-pirai,cn
contaminacion-del-rio-pirai,fr
contaminacion-del-rio-pirai,es
chuangyuan-aluminium-plant-pollution-in-hunan-china,es
chuangyuan-aluminium-plant-pollution-in-hunan-china,tr
chuangyuan-aluminium-plant-pollution-in-hunan-china,en
chuangyuan-aluminium-plant-pollution-in-hunan-china,fr
chuangyuan-aluminium-plant-pollution-in-hunan-china,ar
chuangyuan-aluminium-plant-pollution-in-hunan-china,cn
chuangyuan-aluminium-plant-pollution-in-hunan-china,it
buryatia-vs-yukos-oil-russian-federation,en
buryatia-vs-yukos-oil-russian-federation,cn
buryatia-vs-yukos-oil-russian-federation,es
buryatia-vs-yukos-oil-russian-federation,it
buryatia-vs-yukos-oil-russian-federation,ar
buryatia-vs-yukos-oil-russian-federation,fr
buryatia-vs-yukos-oil-russian-federation,tr
wisco-soalala-iron-ore-madagascar,en
wisco-soalala-iron-ore-madagascar,tr
wisco-soalala-iron-ore-madagascar,ar
wisco-soalala-iron-ore-madagascar,fr
wisco-soalala-iron-ore-madagascar,it
wisco-soalala-iron-ore-madagascar,cn
wisco-soalala-iron-ore-madagascar,es
sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,ar
sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,fr
sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,it
sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,es
sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,en
sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,tr
sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,cn
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,cn
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,en
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,it
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,fr
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,ar
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,tr
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,es
exploratory-fracking-at-kirby-misperton-yorkshire,cn
exploratory-fracking-at-kirby-misperton-yorkshire,es
exploratory-fracking-at-kirby-misperton-yorkshire,tr
exploratory-fracking-at-kirby-misperton-yorkshire,en
exploratory-fracking-at-kirby-misperton-yorkshire,fr
exploratory-fracking-at-kirby-misperton-yorkshire,it
exploratory-fracking-at-kirby-misperton-yorkshire,ar
bedford-biofuels-jatropha-tana-delta-kenya,en
bedford-biofuels-jatropha-tana-delta-kenya,tr
bedford-biofuels-jatropha-tana-delta-kenya,fr
bedford-biofuels-jatropha-tana-delta-kenya,cn
bedford-biofuels-jatropha-tana-delta-kenya,es
bedford-biofuels-jatropha-tana-delta-kenya,ar
bedford-biofuels-jatropha-tana-delta-kenya,it
derrame-de-petroleo-en-el-campo-de-frade-brazil,cn
derrame-de-petroleo-en-el-campo-de-frade-brazil,it
derrame-de-petroleo-en-el-campo-de-frade-brazil,fr
derrame-de-petroleo-en-el-campo-de-frade-brazil,en
derrame-de-petroleo-en-el-campo-de-frade-brazil,es
derrame-de-petroleo-en-el-campo-de-frade-brazil,ar
derrame-de-petroleo-en-el-campo-de-frade-brazil,tr
chemehuevi-indian-tribe-off-roading-damage,tr
chemehuevi-indian-tribe-off-roading-damage,ar
chemehuevi-indian-tribe-off-roading-damage,es
chemehuevi-indian-tribe-off-roading-damage,fr
chemehuevi-indian-tribe-off-roading-damage,it
chemehuevi-indian-tribe-off-roading-damage,en
chemehuevi-indian-tribe-off-roading-damage,cn
clayoquot-sound-canada,en
clayoquot-sound-canada,es
clayoquot-sound-canada,ar
clayoquot-sound-canada,tr
clayoquot-sound-canada,fr
clayoquot-sound-canada,cn
clayoquot-sound-canada,it
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,fr
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,es
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,tr
