UID,name,slug,relations
calcatreu-rio-negro-argentina,"Manantial Espejo, gold and silver mining, Santa Cruz, Argentina",manantial-espejo-gold-and-silver-mining-santa-cruz-argentina,
calcatreu-rio-negro-argentina,"Navidad mining project of Pan American Silver, Chubut, Argentina",navidad-mining-project-of-pan-american-silver-chubut-argentina,
jose-claudio-maria,"Deforestation in Pará and the death of Sister Dorothy Stang, Brazil",deforestation-in-para-and-the-death-of-dorothy-stang,
xochicuautla-comunidadotomi-mexico,"Proyecto inmobiliario Bosque Diamante en Jilotzingo, México",proyecto-inmobiliario-bosque-diamante-en-jilotzingo-estado-de-mexico,
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,"Anglo American Platinum Mogalakwena Mine Tailings Dam in Limpopo, South Africa",anglo-platinum-mogalakwena-mine-tailings-dam-in-limpopo-south-africa,
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,"Anglo American  Platinum Modikwa Mine in Maandagshoek, Limpopo, South Africa",modiwa-platinum-mine-in-maandagshoek-limpopo-south-africa,
telangana-government-plantation-programme," Baiga women’s mobilization to protect forests from Forest Department intervention in Pondi, India",baiga-womens-mobilization-in-community-governed-forests-in-central-india,
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,"Gold mining and paramilitary attack in San Fernando, Bukidnon, Philippines",gold-mining-and-paramilitary-attack-in-san-fernando-bukidnon-philippines,
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,"Israel uproots and confiscates Palestinian agricultural land, Occupied West Bank and Gaza",uprooted-land-in-the-occupied-palestinian-territories,
derrame-de-petroleo-en-el-campo-de-frade-brazil,"Derrame de crudo en el Golfo de Morrosquillo, Colombia",golfo-de-morrosquillo,
clayoquot-sound-canada,"Fairy Creek old-growth logging protests in the southern Vancouver Island region of British Columbia, Canada ",fair-creek-old-growth-logging-protests,
olkiluoto-nuclear-power-plant-euraaminne-finland,"Hanhikivi Nuclear Power Plant, Pyhäjoki, Finland",hanhikivi-nuclear-power-plant-pyhajoki-finland,
olkiluoto-nuclear-power-plant-euraaminne-finland,"Construction delay of the Flamanville Nuclear EPR, Normandy, France",construction-delay-of-the-flamanville-nuclear-epr-france,
anti-fracking-uprising-in-ain-salah,"Gas grabs, Algeria",gas-grabs-algeria,
presa-de-el-zapotillo-jalisco-mexico,"Privatización del agua en Guadalajara, Mexico",segundo-acueducto-del-lago-chapala,
jirau-and-santo-antonio-dams-on-madeira-river-brazil,"Hidroeléctrica Cachuela Esperanza en el Río Beni, Bolivia",hidroelectrica-cachuela-esperanza-en-el-rio-beni-bolivia,
mutanda-mine-democratic-republic-of-congo,"Ecological and sanitary disaster in the cobalt mines of Kolwezi, DR Congo ",kolwezi-ecological-and-sanitary-disaster,
proposed-garbage-incineration-plant-draws-mass-protest-in-guangdong-china,"Langtang  incinerator stopped in Luoding, Guangdong, China",luoding-incinerator-guangzhou-china,
guajajara-community-against-illegal-loggers-in-terra-indigena-arariboia-maranhao-brazil,"Illegal logging and cattle ranching in TI Karipuna and Jací-Paraná, Rondônia, Brazil",illegal-logging-and-cattle-ranching-in-ti-karipuna-and-jaci-parana-rondonia-brazil,
guajajara-community-against-illegal-loggers-in-terra-indigena-arariboia-maranhao-brazil,"Gamella struggle against land grabbing, Maranhão, Brazil",gamella-indigenous-groups-against-ranchers-maranhao-brazil,
guajajara-community-against-illegal-loggers-in-terra-indigena-arariboia-maranhao-brazil,"Traditional and indigenous groups against agribusiness expansion in the Matopiba region, Brazil",communities-against-soy-expansion-and-matopiba-agricultural-development-plan-brazil,
guajajara-community-against-illegal-loggers-in-terra-indigena-arariboia-maranhao-brazil,"Logging gangs and violence against indigenous environmental defenders, Maranhao, Brazil",zezico-guajajara-killed-for-combat-logging-gangs-in-the-amazon-area-in-maranhao-brazil,
the-decimation-of-palestines-fishing-industry,"Israeli navy's violent repression on Palestinian fisher people, Palestine",palestinian-fisherman-killed-by-the-israeli-navy,
the-decimation-of-palestines-fishing-industry,ACKEJ_SHANE Gaza's Turbulent Fishing Industry,israel-and-palestine,
northstar-oil-field-usa,"Iñupiat people resist offshore oil drilling and gas development plans in Point Hope, Alaska, USA",inupiat-people-resist-offshore-oil-drilling-and-gas-development-plans-in-point-hope-alaska-usa,
ilisu-dam-project-turkey,"Southeastern Anatolia Project (GAP), Turkey",southeastern-anatolia-project-gap-turkey,
ilisu-dam-project-turkey,"Daryan Dam and its transboundary impacts, Iran",daryan-dam-iran,
ilisu-dam-project-turkey,"Marsh Arabs and Draining of Iraqi Wetlands, Iraq",marsh-arabs-and-draining-of-iraqi-wetlands-iraq,
protest-against-the-plnnaed-qingshuihe-waste-incineration-power-plant-luohu-district-shenzhen-china,ASU_Hong Kong Air Quality Measures,air-quality-measures,
shell-contractors-fingered-in-bodo-community-oil-theft-explosion-nigeria,"Shell oil exploration and extraction, Nigeria",shell-nigeria,
c-332-people-with-excessive-blood-lead-caused-by-a-sino-foreign-joint-venture-in-deqing-county-of-zhejiang,"Lead acid batteries recycling factory in Mombasa, Kenya",lead-smelting-factory-mombassa-kenya,
koroama-women-stage-protest-alleging-neglect-by-shell-nigeria,"Shell oil exploration and extraction, Nigeria",shell-nigeria,
lignite-mining-janschwalde-horno-germany,"Lignite mining and the Ende Gelände movement, Germany",linginte-mining-and-the-ende-gelande-movement,
pulot-citinickel-mine-in-palawan-philippines,"Ipilan and MacroAsia nickel mines in Brooke's point, Palawan, Philippines",ipilan-nickel-mine-in-palawan-philippines,
mineria-en-tamesis-colombia,"Minería en Jardín, Antioquia, Colombia",mineria-en-jardin-antioquia-colombia,
energy-ecological-economics-nuclear-power-plant-in-le-carnet,"Erdeven Nuclear Power Plant, France",erdeven-nuclear-power-plant,
est-for-invests-paper-mill-at-the-emajogi-river,"Excessive forest logging, Lithuania",forest-logging-lithuania,
pascua-lama-mine-argentina,"Veladero mine, San Juan, Argentina",veladero-san-juan-argentina,
pascua-lama-mine-argentina,"Josemaria proyecto minería, San Juan, Argentina",josemaria,
yacyreta-dam-on-the-parana-river-argentina,"Proyecto hidroeléctrico Corpus Christi, Argentina-Paraguay",proyecto-hidroelectrico-corpus-christi,
tembember,"Expansion of coconut plantations threatens the Tremembé indogenous people, Brazil",agribusiness-affecting-indigenous-tremembe-in-ceara,
potosi-mines-of-cerro-rico-bolivia,"Dique de colas de San Miguel, Cantumarca, Potosí, Bolivia",dique-de-colas-de-san-miguel,
yokosuka-coal-power-plant,"Akita coal-fired power project, Japan",akita-coal-fired-power-project,
yokosuka-coal-power-plant,"Soma Kyodo CFPP in the Soma Core Industrial Park, Fukushima, Japan",soma-kyodo-power-plant-in-the-soma-core-industrial-park-fukushima-japan,
lamu-port-and-related-infrastructure-kenya,"Isiolo Airport, Kenya",isiolo-airport,
overfishing-and-poaching-at-lake-naivasha-kenya,"Gorilla Poaching in Virunga Mountains, Rwanda ",gorilla-poaching-in-virunga-mountains-rwanda,
chuvashka-village-in-kuzbass-kemerovo-oblast-covered-in-black-snow-from-coal-mining-russia,"Raspadskaya Coal Mine in Kemerovo oblast, Russia",raspadskaya-coal-mine-in-kemerovo-oblast-russia,
chuvashka-village-in-kuzbass-kemerovo-oblast-covered-in-black-snow-from-coal-mining-russia,"Kuznetsky Yuzhny coal mine, Cheremza, Russia",protests-against-kuznetsky-yuzhny-coal-mine-cheremza-russia,
