other_types,slug,name,color,id,description
,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2,
,industrial-and-utilities-conflicts,Industrial and Utilities conflicts,#ed1c24,10,
,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2,
airport,infrastructure-and-built-environment,Infrastructure and Built Environment,#999,7,
,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4,
,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4,
,water-management,Water Management,#00bdff,6,
,infrastructure-and-built-environment,Infrastructure and Built Environment,#999,7,
,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2,
,industrial-and-utilities-conflicts,Industrial and Utilities conflicts,#ed1c24,10,
,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5,
,water-management,Water Management,#00bdff,6,
,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2,
,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4,
,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5,
Uranium extraction,nuclear,Nuclear,#ff0,1,
,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5,
,infrastructure-and-built-environment,Infrastructure and Built Environment,#999,7,
,biodiversity-conservation-conflicts,Biodiversity conservation conflicts,#00c621,9,
,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2,
Biodiversity conservation,water-management,Water Management,#00bdff,6,
,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4,
Environmental health ,waste-management,Waste Management,#77721c,3,
,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2,
,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5,
,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5,
,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2,
,industrial-and-utilities-conflicts,Industrial and Utilities conflicts,#ed1c24,10,
,nuclear,Nuclear,#ff0,1,
Forestry ,biodiversity-conservation-conflicts,Biodiversity conservation conflicts,#00c621,9,
,industrial-and-utilities-conflicts,Industrial and Utilities conflicts,#ed1c24,10,
,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2,
,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2,
Recursos biológicos/ Servicios del ecosistema,biodiversity-conservation-conflicts,Biodiversity conservation conflicts,#00c621,9,
"_x000D_
- Lack of compliance with environmental licenses",water-management,Water Management,#00bdff,6,
,industrial-and-utilities-conflicts,Industrial and Utilities conflicts,#ed1c24,10,
,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5,
,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2,
,tourism-recreation,Tourism Recreation,#c685d0,8,
,waste-management,Waste Management,#77721c,3,
,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5,
,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4,
,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5,
Recreational disruptive activities,tourism-recreation,Tourism Recreation,#c685d0,8,
,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4,
,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5,
,nuclear,Nuclear,#ff0,1,
,water-management,Water Management,#00bdff,6,
,water-management,Water Management,#00bdff,6,
