UID,other_commodities
oak-flat-usa,Molybdenum
copper-mining-on-the-asana-river-peru,molybdenum 
phosphate-mining-in-anitpolis-brazil,Phosphate
xochicuautla-comunidadotomi-mexico,Transport facilities
congo-coltan-in-the-kivu-region-dr-of-congo,Coltan
obsolete-pesticides-in-abaco-island-bahamas,Toxic Waste
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,Platinum
telangana-government-plantation-programme,Plantation
yalova-vopak-chemical-storage-terminal-turkey,35 Different Types Of Hazardous Chemicals
yalova-vopak-chemical-storage-terminal-turkey,Hexane
yalova-vopak-chemical-storage-terminal-turkey,Acrylonitrile
yalova-vopak-chemical-storage-terminal-turkey,Toluene Etc.
rare-earth-mining-in-mountains-of-myanmar, Dysprosium. Terbium
nuclear-waste-storage-in-villar-de-canas-spain,Radioactive Waste
malaysia,forest products
varun-land-grabbing-madagascar,Agricultural products
kosova-e-re-lignite-power-plant,lignite
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,Shale gas
mineria-en-el-cerro-sagrado-care-perro-antioquia,Molibdeno
macarthur-metallic-black-sand-mining,black sand
ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,Phenol
ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,Phosphate
ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,Iron
dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project,seeds
killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,Coca-growing
construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia,Transport services
anti-fracking-uprising-in-ain-salah,Shale Gas
residents-protest-against-planned-electroplating-plant-in-dongyang-zhejiang-china,electronic components
mutanda-mine-democratic-republic-of-congo,Cobalt
proposed-garbage-incineration-plant-draws-mass-protest-in-guangdong-china,General waste 
illegal-stone-quarry-in-andarawewa-forest-reserve,Granite
marble-mining-in-indigenous-mollo-territory-in-west-timor-indonesia,Marble
fehmarn-belt-fixed-link-germany-denmark,Transportation Services
waste-management-in-subotica,Chemical (agricultural) waste
wastepickers-in-ankara-struggle-to-be-formally-incorporated-into-the-legal-waste-collecting-framework-turkey,Plastic and Paper
bedouin-israeli-citizens-expelled-from-their-land-by-the-state-israel,Transport and Military services and industries
the-shenzhen-pneumoconiosis-crisis-guangdong-china,real estates
bateke-carbon-sink,Acacia
c-332-people-with-excessive-blood-lead-caused-by-a-sino-foreign-joint-venture-in-deqing-county-of-zhejiang,batteries
appiko-movement-western-ghats-india,Teak plantations
environmental-injustice-and-social-vulnerability-due-to-dams-embankments-and-bank-erosion-in-the-ganga-kosi-floodplains-of-bihar-india,Construction materials and boats
pulot-citinickel-mine-in-palawan-philippines,Nickel
pulot-citinickel-mine-in-palawan-philippines,Chromite
energy-ecological-economics-nuclear-power-plant-in-le-carnet,contamination for personnel
energy-ecological-economics-nuclear-power-plant-in-le-carnet,populations
energy-ecological-economics-nuclear-power-plant-in-le-carnet,property and the property and the environment
erdenetsagaan-without-mining-eastern-mongolia,Fluorspar. Tungsten.
est-for-invests-paper-mill-at-the-emajogi-river,Paper
cerro-el-alguacil-inarwa-colombia,Antenas De Comunicacion
komo-airport,limestone extracted from quarry for airfield construction
oil-refinery-blast-in-limbe-cameroon,Oil products
desertificacion-de-lago-poopo-en-oruro-bolivia,comunidades indígenas 
kaolin-pipeline-on-quilombo-land-in-moju-para-brazil,Kaolin
kaolin-pipeline-on-quilombo-land-in-moju-para-brazil,Also Known As China Clay
amazone-a-defendre-against-a-solar-megapower-plant-french-guyana,Hydrogen
lamu-port-and-related-infrastructure-kenya,Transport Services
carbon,Graphite and marble
no-a-la-pineria-en-costa-rica,Pineapples
los-peligros-de-la-fiebre-del-coltan-para-indigenas-guajibo-piaroa-y-enepa-en-los-estados-bolivar-y-amazonas,Coltan
thalifushi-landfill-a-toxic-bomb-in-the-ocean-maldives,toxic waste
batangas-province-philippines,Limestone
toxic-waste-landfill-in-kettleman-city-usa,PCBs
toxic-waste-landfill-in-kettleman-city-usa,Benzene
cienaga-grande-de-santa-marta-colombia,Construccion De Infraestructura: Carretera Cienaga-Barranquilla
minamata-disease-japan,Plastics
minamata-disease-japan,Methylmercury
cultivo-de-esparragos-en-ica-peru,Espárragos
dioxin-pollution-in-qingpuling-village-fujiang-china,medical waste
polska-bnk-petroleum-fracking-poland,Shale Gas
large-scale-legal-recognition-of-peasants-seed-varieties,seeds
controvery-on-copper-and-molybdenum-mining-shifang-sichuan,Molybdenum
jade-conflict-myanmar,Jade
anti-mining-protest-in-lhundrub-county-occupitied-tibet,gypsum; barite
explosions-at-paraxylene-px-petchem-plant-and-the-related-protests-zhangzhou-fujian,Paraxylene
dambulla-quartz-mining-case,Quartz
nanjing-residents-fight-against-removing-signature-plane-trees-for-metro-lines-jiangsu-china,transportation services
ban-on-cycling-in-kolkata-west-bengal-india,Ban On Cycling In Major City Roads 
let-banni-be,Traditional livelihood
let-banni-be,Indigenous livestock
tozzi-green-ihorombe-agrofuels-madagascar,"geranium
vetiver
Forage"
comunidades-kuna-yala-frente-al-cambio-climatico,Coral
hydro-alunorte-alumina-refinery-in-barcarena-para-brazil,Calcined alumina (intermediate stage between bauxite and aluminum)
fruta-del-norte-ecuador,Molybdenum
as-the-plans-for-incinerators-in-beirut-lebanon-expand-wastepickers-recycle-to-survive,Plastic
as-the-plans-for-incinerators-in-beirut-lebanon-expand-wastepickers-recycle-to-survive,Paper
as-the-plans-for-incinerators-in-beirut-lebanon-expand-wastepickers-recycle-to-survive,Textiles
as-the-plans-for-incinerators-in-beirut-lebanon-expand-wastepickers-recycle-to-survive,Glass
sable-chemicals-zimbabwe,Ammonium Fertilizer
ojnare-forest-lime-stone-mine-gotland-sweden,Lime Stone
paper-mills-wastewater-in-east-ujimqindongwu-banner-inner-mongolia,Paper
underregulated-hazardous-waste-facility-western-environmental-in-california,soil contaminated with petroleum hydrocarbons
underregulated-hazardous-waste-facility-western-environmental-in-california,water contaminated with oil
underregulated-hazardous-waste-facility-western-environmental-in-california,and soy-whey waste
plantation-de-haut-penja,Bananas
quarry-naljezici-montenegro,Technical – construction stone
protests-against-the-dumping-of-moscows-rubbish-at-alexandrov-landfill-the-height-of-which-is-that-of-a-10-storey-building,Solid municipal waste 
narra-citinickel-mine-in-palawan-philippines,nickel
narra-citinickel-mine-in-palawan-philippines,chromite
