UID,global_production,price,slug,main_producers,name,type,id,description,products
calcatreu-rio-negro-argentina,,,gold,,Gold,,20.0,,
calcatreu-rio-negro-argentina,,,silver,,Silver,,38.0,,
water-contamination-by-rahim-yar-khan-sugar-mill,,,industrial-waste,,Industrial waste,,49.0,,
water-contamination-by-rahim-yar-khan-sugar-mill,,,sugar,,Sugar,,41.0,,
oak-flat-usa,,,copper,,Copper,,9.0,,
oak-flat-usa,,,other,,Other,,57.0,,
new-airport-on-tioman-island,,,tourism-services,,Tourism services,,54.0,,
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,,,land,,Land,,23.0,,
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,,,rice,,Rice,,34.0,,
jose-claudio-maria,,,land,,Land,,23.0,,
jose-claudio-maria,,,timber,,Timber,,53.0,,
pesticides-contaminate-drinkable-water-in-bretagne-france,,,pesticides,,Pesticides,,51.0,,
hebron-a-city-flooded-with-sewage,,,water,,Water,,45.0,,
copper-mining-on-the-asana-river-peru,,,copper,,Copper,,9.0,,
copper-mining-on-the-asana-river-peru,,,other,,Other,,57.0,,
copper-mining-on-the-asana-river-peru,,,industrial-waste,,Industrial waste,,49.0,,
copper-mining-on-the-asana-river-peru,,,water,,Water,,45.0,,
copper-mining-on-the-asana-river-peru,,,silver,,Silver,,38.0,,
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,,,aluminum-bauxite,,Aluminum/Bauxite,,1.0,,
wind-farm-nowe-skalmierzyce-poland,,,electricity,,Electricity,,15.0,,
kamchay-dam-kampot-province-cambodia,,,electricity,,Electricity,,15.0,,
phosphate-mining-in-anitpolis-brazil,,,other,,Other,,57.0,,
phosphate-mining-in-anitpolis-brazil,,,chemical-products,,Chemical products,,50.0,,
pt-sss-irregular-establishment,,,palm-oil,,Palm oil,,30.0,,
pt-sss-irregular-establishment,,,land,,Land,,23.0,,
wpb-colliery-in-dullstroom-mpumalanga-south-africa,,,coal,,Coal,,7.0,,
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,,,uranium,,Uranium,,42.0,,
lake-chad-desertification-chad,,,fish,,Fish,,18.0,,
lake-chad-desertification-chad,,,land,,Land,,23.0,,
lake-chad-desertification-chad,,,water,,Water,,45.0,,
xochicuautla-comunidadotomi-mexico,,,other,,Other,,57.0,,
developments-along-the-shores-of-lake-elementaita-kenya,,,other,,Other,,57.0,,
developments-along-the-shores-of-lake-elementaita-kenya,,,biological-resources,,Biological resources,,46.0,,
congo-coltan-in-the-kivu-region-dr-of-congo,,,other,,Other,,57.0,,
congo-coltan-in-the-kivu-region-dr-of-congo,,,land,,Land,,23.0,,
congo-coltan-in-the-kivu-region-dr-of-congo,,,rare-metals,,Rare metals,,32.0,,
lesten-tampur-dam,,,land,,Land,,23.0,,
lesten-tampur-dam,,,electricity,,Electricity,,15.0,,
lesten-tampur-dam,,,water,,Water,,45.0,,
sime-darby-plantation-land-conflict-liberia,,,other,,Other,,57.0,,
sime-darby-plantation-land-conflict-liberia,,,palm-oil,,Palm oil,,30.0,,
sime-darby-plantation-land-conflict-liberia,,,rubber,,Rubber,,35.0,,
obsolete-pesticides-in-abaco-island-bahamas,,,other,,Other,,57.0,,
obsolete-pesticides-in-abaco-island-bahamas,,,pesticides,,Pesticides,,51.0,,
obsolete-pesticides-in-abaco-island-bahamas,,,sugar,,Sugar,,41.0,,
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,,,other,,Other,,57.0,,
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,,,land,,Land,,23.0,,
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,,,rare-metals,,Rare metals,,32.0,,
mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,,,crude-oil,,Crude oil,,12.0,,
oil-drilling-in-the-national-park-of-calilegua,,,crude-oil,,Crude oil,,12.0,,
rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,,,gold,,Gold,,20.0,,
irish-cement,,,industrial-waste,,Industrial waste,,49.0,,
irish-cement,,,cement,,Cement,,55.0,,
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,,,electricity,,Electricity,,15.0,,
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,,,cement,,Cement,,55.0,,
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,,,uranium,,Uranium,,42.0,,
telangana-government-plantation-programme,,,other,,Other,,57.0,,
telangana-government-plantation-programme,,,ecosystem-services,,Ecosystem Services,,56.0,,
yalova-vopak-chemical-storage-terminal-turkey,,,other,,Other,,57.0,,
yalova-vopak-chemical-storage-terminal-turkey,,,chemical-products,,Chemical products,,50.0,,
rare-earth-mining-in-mountains-of-myanmar,,,other,,Other,,57.0,,
rare-earth-mining-in-mountains-of-myanmar,,,land,,Land,,23.0,,
rare-earth-mining-in-mountains-of-myanmar,,,water,,Water,,45.0,,
rare-earth-mining-in-mountains-of-myanmar,,,rare-earth,,Rare earth elements,,73.0,,
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,,,gold,,Gold,,20.0,,
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,,,land,,Land,,23.0,,
depredacion-ecologica-en-el-cerro-de-el-cimatario,,,ecosystem-services,,Ecosystem Services,,56.0,,
depredacion-ecologica-en-el-cerro-de-el-cimatario,,,land,,Land,,23.0,,
depredacion-ecologica-en-el-cerro-de-el-cimatario,,,water,,Water,,45.0,,
contaminacion-del-rio-pirai,,,water,,Water,,45.0,,
contaminacion-del-rio-pirai,,,sand-gravel,,"Sand, gravel",,36.0,,
chuangyuan-aluminium-plant-pollution-in-hunan-china,,,aluminum-bauxite,,Aluminum/Bauxite,,1.0,,
buryatia-vs-yukos-oil-russian-federation,,,crude-oil,,Crude oil,,12.0,,
wisco-soalala-iron-ore-madagascar,,,iron-ore,,Iron ore,,21.0,,
sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,,,land,,Land,,23.0,,
sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,,,biological-resources,,Biological resources,,46.0,,
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,,,domestic-municipal-waste,,Domestic municipal waste,,47.0,,
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,,,industrial-waste,,Industrial waste,,49.0,,
exploratory-fracking-at-kirby-misperton-yorkshire,,,natural-gas,,Natural Gas,,29.0,,
bedford-biofuels-jatropha-tana-delta-kenya,,,jatropha,,Jatropha,,22.0,,
bedford-biofuels-jatropha-tana-delta-kenya,,,other,,Other,,57.0,,
bedford-biofuels-jatropha-tana-delta-kenya,,,ethanol,,Ethanol,,16.0,,
bedford-biofuels-jatropha-tana-delta-kenya,,,land,,Land,,23.0,,
bedford-biofuels-jatropha-tana-delta-kenya,,,carbon-offsets,,Carbon offsets,,4.0,,
derrame-de-petroleo-en-el-campo-de-frade-brazil,,,crude-oil,,Crude oil,,12.0,,
chemehuevi-indian-tribe-off-roading-damage,,,tourism-services,,Tourism services,,54.0,,
chemehuevi-indian-tribe-off-roading-damage,,,land,,Land,,23.0,,
clayoquot-sound-canada,,,timber,,Timber,,53.0,,
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,,,land,,Land,,23.0,,
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,,,electricity,,Electricity,,15.0,,
nuclear-waste-storage-in-villar-de-canas-spain,,,other,,Other,,57.0,,
mis-valley-hydropower-plant-italy,,,other,,Other,,57.0,,
mis-valley-hydropower-plant-italy,,,water,,Water,,45.0,,
malaysia,,,other,,Other,,57.0,,
malaysia,,,palm-oil,,Palm oil,,30.0,,
malaysia,,,land,,Land,,23.0,,
malaysia,,,electricity,,Electricity,,15.0,,
malaysia,,,water,,Water,,45.0,,
varun-land-grabbing-madagascar,,,other,,Other,,57.0,,
varun-land-grabbing-madagascar,,,land,,Land,,23.0,,
vindelalven-hydel-project-sweden,,,other,,Other,,57.0,,
vindelalven-hydel-project-sweden,,,electricity,,Electricity,,15.0,,
vindelalven-hydel-project-sweden,,,water,,Water,,45.0,,
land-grabbing-and-filling-up-of-wetlands,,,land,,Land,,23.0,,
luoding-incinerator-guangzhou-china,,,domestic-municipal-waste,,Domestic municipal waste,,47.0,,
luoding-incinerator-guangzhou-china,,,industrial-waste,,Industrial waste,,49.0,,
luoding-incinerator-guangzhou-china,,,cement,,Cement,,55.0,,
mineria-en-jardin-antioquia-colombia,,,gold,,Gold,,20.0,,
illegal-boreholes-for-strawberry-farming-in-donana,,,water,,Water,,45.0,,
illegal-boreholes-for-strawberry-farming-in-donana,,,fruits-and-vegetables,,Fruits and Vegetables,,19.0,,
pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia,,,palm-oil,,Palm oil,,30.0,,
pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia,,,land,,Land,,23.0,,
exxaro-leeuwpan-mining-project-south-africa,,,coal,,Coal,,7.0,,
kosova-e-re-lignite-power-plant,,,other,,Other,,57.0,,
kosova-e-re-lignite-power-plant,,,coal,,Coal,,7.0,,
coastal-zone-megaprojects-el-salvador,,,tourism-services,,Tourism services,,54.0,,
coastal-zone-megaprojects-el-salvador,,,land,,Land,,23.0,,
45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa,,,iron-ore,,Iron ore,,21.0,,
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,,,other,,Other,,57.0,,
mineria-en-el-cerro-sagrado-care-perro-antioquia,,,copper,,Copper,,9.0,,
mineria-en-el-cerro-sagrado-care-perro-antioquia,,,other,,Other,,57.0,,
mineria-en-el-cerro-sagrado-care-perro-antioquia,,,gold,,Gold,,20.0,,
macarthur-metallic-black-sand-mining,,,other,,Other,,57.0,,
macarthur-metallic-black-sand-mining,,,iron-ore,,Iron ore,,21.0,,
macarthur-metallic-black-sand-mining,,,sand-gravel,,"Sand, gravel",,36.0,,
russas-valparaiso-redd-projects-acre-brazil,,,ecosystem-services,,Ecosystem Services,,56.0,,
russas-valparaiso-redd-projects-acre-brazil,,,land,,Land,,23.0,,
russas-valparaiso-redd-projects-acre-brazil,,,carbon-offsets,,Carbon offsets,,4.0,,
ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,,,other,,Other,,57.0,,
ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,,,chemical-products,,Chemical products,,50.0,,
dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project,,,other,,Other,,57.0,,
dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project,,,biological-resources,,Biological resources,,46.0,,
ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp,,,land,,Land,,23.0,,
ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp,,,fruits-and-vegetables,,Fruits and Vegetables,,19.0,,
pollution-of-the-obangue-river-also-dubanga-river,,,crude-oil,,Crude oil,,12.0,,
shale-gas-hydraulic-fracturing-ile-anticosti,,,crude-oil,,Crude oil,,12.0,,
shale-gas-hydraulic-fracturing-ile-anticosti,,,natural-gas,,Natural Gas,,29.0,,
rubber-tree-plantation-near-de-dja-reserve,,,rubber,,Rubber,,35.0,,
killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,,,other,,Other,,57.0,,
killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,,,land,,Land,,23.0,,
killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,,,electricity,,Electricity,,15.0,,
killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,,,biological-resources,,Biological resources,,46.0,,
killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,,,cellulose,,Cellulose,,5.0,,
killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,,,timber,,Timber,,53.0,,
asbestos-in-salonit-anhovo-slovenia,,,other,,Other,,57.0,,
asbestos-in-salonit-anhovo-slovenia,,,asbestos,,Asbestos,,2.0,,
mining-in-tumpang-pitu-banyuwangi-east-java-indonesia,,,copper,,Copper,,9.0,,
mining-in-tumpang-pitu-banyuwangi-east-java-indonesia,,,gold,,Gold,,20.0,,
mining-in-tumpang-pitu-banyuwangi-east-java-indonesia,,,silver,,Silver,,38.0,,
military-polygon-on-sinjajevina-montenegro,,,land,,Land,,23.0,,
olkiluoto-nuclear-power-plant-euraaminne-finland,,,other,,Other,,57.0,,
olkiluoto-nuclear-power-plant-euraaminne-finland,,,electricity,,Electricity,,15.0,,
olkiluoto-nuclear-power-plant-euraaminne-finland,,,uranium,,Uranium,,42.0,,
cellulose-industry-in-gualeguaychu-ur-arg,,,other,,Other,,57.0,,
cellulose-industry-in-gualeguaychu-ur-arg,,,cellulose,,Cellulose,,5.0,,
construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia,,,other,,Other,,57.0,,
construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia,,,ecosystem-services,,Ecosystem Services,,56.0,,
thousands-of-villagers-gathered-to-protest-against-the-jingxi-xinfa-aluminum-plant-in-guangxichina,,,land,,Land,,23.0,,
thousands-of-villagers-gathered-to-protest-against-the-jingxi-xinfa-aluminum-plant-in-guangxichina,,,aluminum-bauxite,,Aluminum/Bauxite,,1.0,,
habitantes-de-shaglli-contra-proyecto-minero-shyri-ecuador,,,copper,,Copper,,9.0,,
habitantes-de-shaglli-contra-proyecto-minero-shyri-ecuador,,,gold,,Gold,,20.0,,
habitantes-de-shaglli-contra-proyecto-minero-shyri-ecuador,,,silver,,Silver,,38.0,,
anti-fracking-uprising-in-ain-salah,,,crude-oil,,Crude oil,,12.0,,
anti-fracking-uprising-in-ain-salah,,,other,,Other,,57.0,,
anti-fracking-uprising-in-ain-salah,,,natural-gas,,Natural Gas,,29.0,,
complejo-inmobiliario-mitikah-ciudad-viva,,,land,,Land,,23.0,,
complejo-inmobiliario-mitikah-ciudad-viva,,,water,,Water,,45.0,,
cano-limon-oilfield-in-arauquita-arauca-colombia,,,crude-oil,,Crude oil,,12.0,,
cano-limon-oilfield-in-arauquita-arauca-colombia,,,natural-gas,,Natural Gas,,29.0,,
represas-del-rio-santa-cruz1,,,land,,Land,,23.0,,
represas-del-rio-santa-cruz1,,,electricity,,Electricity,,15.0,,
represas-del-rio-santa-cruz1,,,water,,Water,,45.0,,
residents-protest-against-planned-electroplating-plant-in-dongyang-zhejiang-china,,,other,,Other,,57.0,,
residents-protest-against-planned-electroplating-plant-in-dongyang-zhejiang-china,,,manufactured-products,,Manufactured Products,,27.0,,
norsudtimber-illegal-in-drc,,,palm-oil,,Palm oil,,30.0,,
norsudtimber-illegal-in-drc,,,timber,,Timber,,53.0,,
gold-min,,,gold,,Gold,,20.0,,
gold-min,,,land,,Land,,23.0,,
gold-min,,,water,,Water,,45.0,,
presa-de-el-zapotillo-jalisco-mexico,,,water,,Water,,45.0,,
ptpn-ii-displaces-indigenous-rakyat-pununggu-people-for-plantations-in-north-sumatra-indonesia,,,palm-oil,,Palm oil,,30.0,,
ptpn-ii-displaces-indigenous-rakyat-pununggu-people-for-plantations-in-north-sumatra-indonesia,,,sugar,,Sugar,,41.0,,
jirau-and-santo-antonio-dams-on-madeira-river-brazil,,,land,,Land,,23.0,,
jirau-and-santo-antonio-dams-on-madeira-river-brazil,,,electricity,,Electricity,,15.0,,
jirau-and-santo-antonio-dams-on-madeira-river-brazil,,,water,,Water,,45.0,,
jamsher-solid-waste-treatment-plant-jalandhar-punjab-india,,,domestic-municipal-waste,,Domestic municipal waste,,47.0,,
mutanda-mine-democratic-republic-of-congo,,,copper,,Copper,,9.0,,
mutanda-mine-democratic-republic-of-congo,,,other,,Other,,57.0,,
proposed-garbage-incineration-plant-draws-mass-protest-in-guangdong-china,,,other,,Other,,57.0,,
proposed-garbage-incineration-plant-draws-mass-protest-in-guangdong-china,,,industrial-waste,,Industrial waste,,49.0,,
proposed-garbage-incineration-plant-draws-mass-protest-in-guangdong-china,,,electricity,,Electricity,,15.0,,
dugarajapatnam-port-andhra-pradesh-india,,,other,,Other,,57.0,,
dugarajapatnam-port-andhra-pradesh-india,,,land,,Land,,23.0,,
mokoron-hill-nicaragua,,,land,,Land,,23.0,,
