UID,slug,name,id,description,category.slug,category.name,category.color,category.id,category.description,type2
calcatreu-rio-negro-argentina,mineral-ore-exploration,Mineral ore exploration and/or extraction,4.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
calcatreu-rio-negro-argentina,water-access-rights-and-entitlements,Water access rights and entitlements,33.0,,water-management,Water Management,#00bdff,6.0,,
water-contamination-by-rahim-yar-khan-sugar-mill,landfills-toxic-waste-treatment-uncontrolled-dump-sites,"Landfills, toxic waste treatment, uncontrolled dump sites",11.0,,waste-management,Waste Management,#77721c,3.0,,
water-contamination-by-rahim-yar-khan-sugar-mill,other-industries,Other industries,50.0,,industrial-and-utilities-conflicts,Industrial and Utilities conflicts,#ed1c24,10.0,,
oak-flat-usa,mineral-ore-exploration,Mineral ore exploration and/or extraction,4.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
oak-flat-usa,tailings-from-mines,Tailings from mines,6.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
oak-flat-usa,mineral-processing,Mineral processing,5.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
oak-flat-usa,water-access-rights-and-entitlements,Water access rights and entitlements,33.0,,water-management,Water Management,#00bdff,6.0,,
new-airport-on-tioman-island,ports-and-airport-projects,Ports and airport projects,39.0,,infrastructure-and-built-environment,Infrastructure and Built Environment,#999,7.0,,
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,land-acquisition-conflicts,Land acquisition conflicts,12.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,intensive-food-production-monoculture-and-livestock,Intensive food production (monoculture and livestock),21.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
jose-claudio-maria,deforestation,Deforestation,15.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
jose-claudio-maria,land-acquisition-conflicts,Land acquisition conflicts,12.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
jose-claudio-maria,logging-and-non-timber-extraction,Logging and non timber extraction,14.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
jose-claudio-maria,establishment-of-reserves-national-parks,Establishment of reserves/national parks,43.0,,tourism-recreation,Tourism Recreation,#c685d0,8.0,,
pesticides-contaminate-drinkable-water-in-bretagne-france,agro-toxics,Agro-toxics,16.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
pesticides-contaminate-drinkable-water-in-bretagne-france,intensive-food-production-monoculture-and-livestock,Intensive food production (monoculture and livestock),21.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
hebron-a-city-flooded-with-sewage,dams-and-water-distribution-conflicts,Dams and water distribution conflicts,36.0,,water-management,Water Management,#00bdff,6.0,,
hebron-a-city-flooded-with-sewage,water-treatment-and-access-to-sanitation-access-to-sewage,Water treatment and access to sanitation (access to sewage),37.0,,water-management,Water Management,#00bdff,6.0,,
hebron-a-city-flooded-with-sewage,urban-development-conflicts,Urban development conflicts,41.0,,infrastructure-and-built-environment,Infrastructure and Built Environment,#999,7.0,,
copper-mining-on-the-asana-river-peru,mineral-ore-exploration,Mineral ore exploration and/or extraction,4.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
copper-mining-on-the-asana-river-peru,water-access-rights-and-entitlements,Water access rights and entitlements,33.0,,water-management,Water Management,#00bdff,6.0,,
copper-mining-on-the-asana-river-peru,landfills-toxic-waste-treatment-uncontrolled-dump-sites,"Landfills, toxic waste treatment, uncontrolled dump sites",11.0,,waste-management,Waste Management,#77721c,3.0,,
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,pollution-related-to-transport-spills-dust-emissions,"Pollution related to transport (spills, dust, emissions)",40.0,,infrastructure-and-built-environment,Infrastructure and Built Environment,#999,7.0,,
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,chemical-industries,Chemical industries,49.0,,industrial-and-utilities-conflicts,Industrial and Utilities conflicts,#ed1c24,10.0,,
